"","coiid","nationalmusym","dmuiid","musym","muname","mustatus","compname","comppct_r","slope_l","slope_h","drainagecl","ecosite_id","taxclname","pmkind","pmorigin","landform_string","modaldepthcl","drange"
"34",1813152,"2lp80",543497,"1012","Mined Land","provisional","Mined land",94,2,60,NA,NA,NA,NA,NA,NA,"NA","None"
"244",2482885,"2lp80",543497,"1012","Mined Land","provisional","Water",6,0,0,NA,NA,NA,NA,NA,NA,"NA","None"
"400",2528899,"2x297",798384,"1090","Ultic Haploxeralfs-Mollic Haploxeralfs complex, 3 to 30 percent slopes","provisional","Ultic Haploxeralfs",60,8,30,"well","F018XI202CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","colluvium & residuum","conglomerate, unspecified","terrace","VD","None"
"401",2528900,"2x297",798384,"1090","Ultic Haploxeralfs-Mollic Haploxeralfs complex, 3 to 30 percent slopes","provisional","Mollic Haploxeralfs",30,3,30,"well","F018XI201CA","Loamy-skeletal, mixed, superactive, thermic Mollic Haploxeralfs","alluvium & residuum","NA & conglomerate, unspecified","terrace","MD","MD"
"402",2528901,"2x297",798384,"1090","Ultic Haploxeralfs-Mollic Haploxeralfs complex, 3 to 30 percent slopes","provisional","Amador",5,3,8,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Typic Haploxerepts","residuum","tuff, acidic","low hill","S","VS-S"
"403",2528902,"2x297",798384,"1090","Ultic Haploxeralfs-Mollic Haploxeralfs complex, 3 to 30 percent slopes","provisional","Miltonhills",2,8,30,"well","F018XI202CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","low hill","D","D"
"404",2528903,"2x297",798384,"1090","Ultic Haploxeralfs-Mollic Haploxeralfs complex, 3 to 30 percent slopes","provisional","Rock outcrop",2,3,30,NA,NA,NA,NA,NA,"hill","NA","None"
"245",2482887,"2x297",798384,"1090","Ultic Haploxeralfs-Mollic Haploxeralfs complex, 3 to 30 percent slopes","provisional","Mined land",1,3,20,NA,NA,NA,NA,NA,NA,"NA","None"
"405",2528904,"2x298",798385,"1091","Ultic Haploxeralfs-Aquic Dystroxerepts complex, 2 to 8 percent slopes","provisional","Ultic Haploxeralfs",80,2,8,"well","F018XI207CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs","alluvium","NA","stream terrace","VD","None"
"406",2528905,"2x298",798385,"1091","Ultic Haploxeralfs-Aquic Dystroxerepts complex, 2 to 8 percent slopes","provisional","Aquic Dystroxerepts",20,2,8,"somewhat poorly","R018XI111CA","Loamy-skeletal, mixed, active, thermic Aquic Dystroxerepts","alluvium","NA","stream terrace","VD","None"
