,siteiid,peiid,pedon_id,site_id,obs_date,utmzone,utmeasting,utmnorthing,x,y,horizdatnm,x_std,y_std,gpspositionalerror,describer,pedonpurpose,pedontype,pedlabsampnum,labdatadescflag,tsectstopnum,tsectinterval,utransectid,tsectkind,tsectselmeth,elev_field,slope_field,aspect_field,plantassocnm,earthcovkind1,earthcovkind2,erocl,bedrckdepth,bedrckkind,bedrckhardness,hillslopeprof,geomslopeseg,shapeacross,shapedown,slopecomplex,drainagecl,geomposhill,geomposmntn,geomposflats,slope_shape,classdate,classifier,classtype,taxonname,localphase,taxonkind,seriesstatus,taxpartsize,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,soiltaxedition,osdtypelocflag,taxmoistcl,taxtempregime,taxfamother,psctopdepth,pscbotdepth,selection_method,ecositeid,ecositenm,ecositecorrdate,es_classifier,es_selection_method,umbric.epipedon,argillic.horizon,ochric.epipedon,cambic.horizon,lithic.contact,paralithic.contact,mollic.epipedon,paralithic.materials,kandic.horizon,lithologic.discontinuity,andic.soil.properties,densic.contact,abrupt.textural.change,aquic.conditions,duripan,slickensides,redox.depletions.with.chroma.2.or.less,redox.concentrations,reduced.matrix,densic.materials,volcanic.glass,folistic.epipedon,albic.materials,human.transported.material,strongly.contrasting.particle.size.class,secondary.carbonates,anthropic.epipedon,surface_fgravel,surface_gravel,surface_cobbles,surface_stones,surface_boulders,surface_channers,surface_flagstones,surface_paragravel,surface_paracobbles,landform_string,pmkind,pmorigin,sampled_as,musym,taxclname,correlated,grpiidref,grpname,correlated_matches
1,254457,242801,S2007CA109006,07-SMM-007,4/26/2007,10,728104,4204707,-120.403511,37.96134949,NAD83,-120.403511,37.9613457,NA,Sue Malone,laboratory sampling site,taxadjunct to the series,07N0475,1,NA,NA,NA,NA,NA,495,40,320,Interior Live Oak - Chaparral,NA,NA,NA,132,"schist, unspecified",moderately,backslope,middle third,linear,linear,simple,well,side slope,NA,NA,linear / linear,12/29/2015,Andrew Paolucci,correlated,Wardsferry,NA,taxadjunct,tentative,coarse-loamy,alfisols,xeralfs,haploxeralfs,ultic haploxeralfs,twelfth edition,0,xeric,thermic,NA,36,86,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,hillslope,colluvium & residuum,"metasedimentary, unspecified & schist, unspecified",Mounthope,7212,"Coarse-loamy, mixed, active, thermic Ultic Haploxeralfs",Wardsferry,26246,KSSL_Sites_RO2,TRUE
2,254459,207242,S2007CA109005,06-SMM-007,10/3/2006,10,729321,4204365,-120.3897781,37.95794678,NAD83,-120.3897781,37.957943,NA,Sue Malone,laboratory sampling site,taxadjunct to the series,07N0474,1,NA,NA,NA,NA,NA,536,45,120,Interior Live Oak - Chaparral,NA,NA,NA,99,"siltstone, unspecified",moderately,backslope,NA,concave,linear,simple,well,side slope,NA,NA,concave / linear,12/28/2015,Andrew Paolucci,correlated,Millvilla,NA,taxadjunct,tentative,coarse-loamy,inceptisols,xerepts,haploxerepts,typic haploxerepts,twelfth edition,0,xeric,thermic,NA,25,99,most recent,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,hillslope,colluvium & colluvium & residuum & residuum,"siltstone, unspecified & argillite",Millvilla,7212,"Coarse-loamy, mixed, superactive, thermic Typic Haploxerepts",Millvilla,26246,KSSL_Sites_RO2,TRUE
3,254484,207254,S2007CA109004,06-JCR-006,11/2/2006,10,742775,4207883,-120.235611,37.98613739,NAD83,-120.235611,37.9861374,NA,JCR and SMM,laboratory sampling site,OSD pedon,07N0473,1,NA,NA,NA,NA,NA,893,46,39,Sierran Mixed Conifer,NA,NA,NA,292,granodiorite,moderately,backslope,middle third,concave,convex,complex,well,side slope,NA,NA,concave / convex,6/9/2017,Andrew Brown,correlated,Wukusick,NA,series,tentative,fine,alfisols,xeralfs,palexeralfs,ultic palexeralfs,twelfth edition,1,NA,mesic,NA,45,95,most recent,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,hillslope,colluvium & residuum,"diorite & schist, mica",Musick (fine),6038,"Fine, mixed, subactive, mesic Ultic Palexeralfs",Wukusick,26246,KSSL_Sites_RO2,TRUE
4,254485,242798,S2007CA109003,07-SMM-008,3/29/2007,10,718573,4190167,-120.516304,37.83277512,NAD83,-120.516304,37.8327789,NA,Sue Malone,laboratory sampling site,taxadjunct to the series,07N0472,1,NA,NA,NA,NA,NA,336,8,288,Blue Oak Woodland,NA,NA,NA,36,"metasedimentary rock, unspecified",very strongly,shoulder,NA,convex,linear,simple,well,interfluve,NA,NA,convex / linear,1/24/2012,NA,correlated,Whiterock,NA,taxadjunct,established,loamy,inceptisols,xerepts,haploxerepts,lithic haploxerepts,tenth edition,0,xeric,thermic,not used,0,36,most recent,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,hillslope,residuum,"metasedimentary, unspecified",Whiterock,8034,"Loamy, mixed, superactive, thermic Lithic Haploxerepts",Whiterock,26246,KSSL_Sites_RO2,TRUE
5,254488,242805,S2007CA109001,07-JCR-001,4/5/2007,10,714616,4191767,-120.5607224,37.8480835,NAD83,-120.5607224,37.8480835,NA,John Rule,laboratory sampling site,taxadjunct to the series,07N0470,1,NA,NA,NA,NA,NA,315,18,93,NA,NA,NA,NA,122,greenstone,strongly,backslope,middle third,linear,linear,complex,well,side slope,NA,NA,linear / linear,8/26/2015,NA,correlated,Typic Haploxerepts,NA,taxon above family,tentative,coarse-loamy,alfisols,xeralfs,haploxerepts,typic haploxerepts,twelfth edition,0,xeric,thermic,NA,25,100,most recent,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,11,1,0,0,0,0,0,0,hillslope,colluvium & residuum,greenstone,Motherlode,7076,"Coarse-loamy, mixed, superactive, thermic Typic Haploxerepts",Typic Haploxerepts,26246,KSSL_Sites_RO2,TRUE
6,254491,242808,S2007CA009002,07-JCR-002,4/2/2007,10,700783,4201935,-120.7150269,37.94286346,NAD83,-120.7150269,37.9428596,NA,John Rule,laboratory sampling site,OSD pedon,07N0469,1,NA,NA,NA,NA,NA,337,20,272,NA,NA,NA,NA,81,greenstone,strongly,backslope,middle third,linear,linear,complex,well,side slope,NA,NA,linear / linear,1/24/2012,NA,correlated,Gopheridge,NA,series,tentative,loamy-skeletal,alfisols,xeralfs,haploxeralfs,ultic haploxeralfs,tenth edition,1,xeric,thermic,NA,18,68,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,11,1,0,0,0,0,0,0,hillslope,colluvium & residuum,greenstone,Gopheridge,7076,"Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs",Gopheridge,26246,KSSL_Sites_RO2,TRUE
7,254492,242796,S2007CA009001,07-SMM-015,4/5/2007,10,723463,4251017,-120.4417496,38.37947083,NAD83,-120.4417496,38.3794708,NA,Sue Malone,laboratory sampling site,representative pedon for component,07N0468,1,NA,NA,NA,NA,NA,1025,25,138,Sierran Mixed Conifer,NA,NA,NA,205,argillite,NA,shoulder,NA,concave,linear,simple,well,NA,mountaintop,NA,concave / linear,1/3/2018,Andrew Paolucci,correlated,Sites,NA,series,established,fine,ultisols,humults,haplohumults,xeric haplohumults,twelfth edition,0,xeric,mesic,not used,46,96,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,ridge,colluvium & residuum,"metasedimentary, unspecified & argillite",Sitesnot,8161,"Fine, parasesquic, mesic Xeric Haplohumults",Sites,26246,KSSL_Sites_RO2,TRUE
8,297063,253445,S07CA009006,S2007CA630SMM017,6/4/2007,10,724459,4251310,-120.4303589,38.38180542,NAD83,-120.4303589,38.3818054,NA,Sue Malone,laboratory sampling site,representative pedon for component,08N0160,1,NA,NA,NA,NA,NA,975,45,14,Sierran Mixed Conifer,NA,NA,NA,NA,NA,NA,backslope,NA,linear,linear,simple,well,NA,mountainflank,NA,linear / linear,12/28/2015,Andrew Paolucci,correlated,Jocal,Jocal,taxadjunct,tentative,coarse-loamy,inceptisols,xerepts,dystroxerepts,typic dystroxerepts,twelfth edition,1,xeric,mesic,NA,33,108,most recent,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,mountain slope,colluvium & residuum,"metasedimentary, unspecified",Schaad,8287,"Coarse-loamy, mixed, active, mesic Typic Dystroxerepts",Jocal,26246,KSSL_Sites_RO2,TRUE
9,297064,260218,S07CA009004,S2007CA630SMM040,10/16/2007,10,724540,4256592,-120.4275284,38.43263626,NAD83,-120.4275284,38.4326401,NA,Sue Malone,laboratory sampling site,OSD pedon,08N0158,1,NA,NA,NA,NA,NA,1300,12,270,Sierran Mixed Conifer,NA,NA,NA,NA,NA,NA,backslope,NA,linear,linear,simple,well,NA,mountaintop,NA,linear / linear,2/5/2018,Andrew Brown,correlated,Redapple,NA,series,tentative,fine,ultisols,humults,palehumults,andic palehumults,twelfth edition,1,xeric,mesic,not used,30,80,most recent,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,ridge & mudflow,volcanic ash & colluvium,NA & tuff breccia,Andihasset,4040,"Fine, isotic, mesic Andic Palehumults",Redapple,26246,KSSL_Sites_RO2,TRUE
10,297065,258871,S07CA009003,S2007CA630SMM042,10/19/2007,10,722140,4257176,-120.4549408,38.43524933,NAD83,-120.4549408,38.4352493,NA,Sue Malone,laboratory sampling site,representative pedon for component,08N0157,1,NA,NA,NA,NA,NA,1170,6,316,Sierran Mixed Conifer,NA,NA,NA,NA,NA,NA,backslope,NA,linear,linear,simple,well,NA,mountaintop,NA,linear / linear,7/3/2018,Andrew Brown,correlated,Horseshoe,NA,taxadjunct,tentative,fine-loamy,ultisols,xerults,haplohumults,xeric haplohumults,twelfth edition,0,xeric,mesic,not used,38,88,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,ridge,volcanic ash & residuum & colluvium,NA & granitoid,Mantree,6041,"Fine-loamy, mixed, semiactive, mesic Xeric Haplohumults",Horseshoe,26246,KSSL_Sites_RO2,TRUE
