STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro,Basin,Owner,Maintenance,Operator,Map,Collect,County Name,Basin Name,Agency Name,Hydro Area,Sensors,
ADR,AUBURN DAM RIDGE,1200,38.882,-121.045,AUBURN,5,7701,50,700,50,17,0,PLACER,AMERICAN R,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45",
ADS,ALDER SPRINGS NEAR ELK CREEK,4500,39.65,-122.725,ORLAND,5,7251, , ,44,12,0,GLENN,STONY CR,US Forest Service,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78",
B02,19N2E07K03M HARRIS RD NR RICHVALE,93,39.511768,-121.787979,RICHVALE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170",
B03,19N2E07K02M HARRIS RD NR RICHVALE,93,39.511768,-121.787979,RICHVALE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170",
B04,20N2E24C01M NELSON RD NR ADOBE RD,150,39.581272,-121.70258,OROVILLE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"14,25,170",
B06,20N2E24C03M NELSON RD NR ADOBE RD,150,39.581272,-121.70258,OROVILLE,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"25,170",
B07,21N1E13L04M CHICO UNIV FARM,151,39.673446,-121.814422,CHICO,5,7201, , ,104,12,2,BUTTE,BUTTE CR,Butte County,SACRAMENTO RIVER,"14,25,170",
BAL,BALCH PH (PG&E),1720,36.909,-119.089,PIEDRA,7,9401, , ,60,31,0,FRESNO,KINGS R,Pacific Gas & Electric,TULARE LAKE,"2,14,16,30,45,203",
BBW,BW-12 IMPORT TO BUTTE CREEK,2882,39.8857307434082,-121.610328674316,CHICO,5,7201, , ,1,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41",
BCB,BLACKCAP BASIN,10300,37.067,-118.77,PIEDRA,7,9401,702,702,702,26,0,FRESNO,KINGS R,CA Dept of Water Resources/Snow Surveys,TULARE LAKE,"3,4,14,18,30,31,32,82",
BFK,BAKERSFIELD AIRPORT,494,35.434,-119.054,BAKERSFIELD,7,9801, , ,40,38,0,KERN,TULARE LAKE,National Weather Service,TULARE LAKE,"2,45",
BGF,BIG CK DIVERSION NR FISH CAMP,5400,37.46944,-119.61417,FISH CAMP,6,8701, , ,720,25,2,MARIPOSA,MERCED R,Madera Irrigation District,SAN JOAQUIN RIVER,"1,14,20,165",
BHN,BIG CR BLW HUNTINGTON LAKE,6630,37.221,-119.212,BIG CREEK,6,9001, , ,68,25,0,FRESNO,SAN JOAQUIN R,Southern California Edison Company, Big Creek,SAN JOAQUIN RIVER,"65,66",
BHP,BUCHANAN POOL,613,37.2167,-119.9844,MADERA,6,8801, , ,56,25,0,MADERA,CHOWCHILLA R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"14,43",
BIL,BUCK ISLAND LAKE,6400,39.001,-120.25,SOUTH LAKE TAHOE,5,7701, , ,85,14,0,EL DORADO,AMERICAN R,Sacramento Municipal Utility District,SACRAMENTO RIVER,"6,15,23,71",
BIT,LAKE BRITTON,2744,41.022,-121.676,BURNEY,5,6701, , ,60,4,0,SHASTA,PIT R,Pacific Gas & Electric,SACRAMENTO RIVER,"15",
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),0,38.2759,-121.7965,RIO VISTA,2,8101, , ,703,17,0,SOLANO,DELTA,CA Dept of Water Resources/O & M,SAN FRANCISCO BAY,"25,27,62,70,100,114,146,149",
BLN,BEN LOMOND,365,37.093,-122.075,BEN LOMOND,3,2901, , ,144,22,0,SANTA CRUZ,SAN LORENZO R,Santa Cruz County,CENTRAL COAST,"2,16,45",
BMC,BURNING MOSCOW,5920,35.4656,-118.2547,WELDON,7,9701, , ,115,39,0,KERN,KERN R,Kern County,TULARE LAKE,"14,16",
BMN,BLACKS MOUNTAIN,6700,40.762,-121.195,OLD STATION,5,6701,999,999,19,9,0,LASSEN,PIT R,Hat Creek Ranger District,SACRAMENTO RIVER,"3,18,82",
BNL,BOONVILLE HMS,342,39.015,-123.372,BOONVILLE,1,1610, , ,6,11,0,MENDOCINO,NAVARRO RIVER,CA Dept of Transportation,NORTH COAST,"2",
BNM,BONITA MEADOWS,8300,36.038,-118.328,,7,9701, , ,29,32,0,TULARE,KERN R,Kern River Ranger District,TULARE LAKE,"3,18,82",
BOS,BOREL CANAL SIPHON,2520,35.5931,-118.5022,LAKE ISABELLA,7,9701, , ,56,39,0,KERN,KERN R,US Army Corps of Engineers,TULARE LAKE,"14,20",
BOW,BOWMAN,5385,39.45,-120.65,EMIGRANT GAP,5,7401, , ,81,14,0,NEVADA,YUBA R,Nevada Irrigation District,SACRAMENTO RIVER,"2",
BP2,BIG PINE CREEK 2,9700,37.127,-118.47,BIG PINE,9,11001, , ,71,26,0,INYO,OWENS R,City of Los Angeles; Dept of Water and Power,SOUTH LAHONTAN,"3,18,82",
BPL,BEAR POOL,459,37.3667,-120.61,ATWATER,6,8701, , ,56,24,0,MERCED,MERCED R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"14,43",
