"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"172",2462630,"1000","provisional",34561,34864,FALSE
"87",2403708,"1011","provisional",645,707,FALSE
"88",2403709,"1012","provisional",4209,4708,FALSE
"183",2538426,"1030","provisional",1382,1412,FALSE
"184",2538427,"1031","provisional",2218,2383,FALSE
"241",NA,"1050",NA,0,1901,FALSE
"242",NA,"1060",NA,0,1945,FALSE
"243",NA,"1080",NA,0,35,FALSE
"238",2683398,"1090","provisional",0,2735,FALSE
"239",2683399,"1091","provisional",0,1520,FALSE
"50",2374649,"2062","additional",0,0,TRUE
"36",1913607,"3020","approved",6194,1248,FALSE
"115",2425107,"3021","provisional",5357,10670,FALSE
"100",2403745,"3023","additional",0,0,TRUE
"99",2403744,"3024","additional",979,0,FALSE
"98",2403743,"3025","additional",1157,0,FALSE
"38",2220264,"3030","additional",2005,0,FALSE
"83",2399790,"3031","additional",0,0,TRUE
"174",2480972,"3032","additional",1182,0,FALSE
"175",2480973,"3033","approved",6066,5102,FALSE
"40",2220268,"3034","additional",0,0,TRUE
"155",2451217,"3037","additional",0,0,TRUE
"39",2220266,"3038","approved",3599,3890,FALSE
"1",1865917,"3045","additional",469,0,FALSE
"2",1865918,"3046","provisional",5561,5699,FALSE
"96",2403734,"3048","additional",0,0,TRUE
"154",2450845,"3058","provisional",3391,4839,FALSE
"3",1865919,"3059","additional",530,0,FALSE
"244",NA,"401",NA,0,973,FALSE
"182",2538418,"4040","approved",584,1486,FALSE
"42",2220270,"4046","approved",1276,3599,FALSE
"41",2220269,"4048","approved",1747,2332,FALSE
"4",1865920,"4135","additional",0,0,TRUE
"52",2374651,"4136","provisional",3632,3338,FALSE
"208",2533533,"4200","provisional",4497,4141,FALSE
"209",2533534,"4201","provisional",3397,4606,FALSE
"219",2533535,"4202","provisional",2810,4731,FALSE
"205",2538450,"4203","additional",0,0,TRUE
"245",NA,"451",NA,0,1193,FALSE
"246",NA,"475",NA,0,1136,FALSE
"5",1865921,"5011","additional",0,0,TRUE
"225",2559209,"5012","provisional",19710,16679,FALSE
"210",2559182,"5013","provisional",4742,4480,FALSE
"247",NA,"5013a",NA,0,276,FALSE
"221",2559212,"5014","additional",773,0,FALSE
"226",2600450,"5015","provisional",1039,1628,FALSE
"248",NA,"5015a",NA,0,17,FALSE
"185",2538428,"5051","provisional",1914,775,FALSE
"186",2538429,"5052","additional",0,0,TRUE
"187",2538430,"5053","provisional",3693,1282,FALSE
"188",2538431,"5054","additional",0,0,TRUE
"189",2538432,"5057","provisional",959,1697,FALSE
"190",2538433,"5058","additional",0,0,TRUE
"191",2538434,"5059","additional",0,0,TRUE
"85",2403696,"5100","provisional",446,2276,FALSE
"145",2450478,"5101","provisional",254,1002,FALSE
"206",2538451,"5102","provisional",2673,202,FALSE
"222",2559210,"5103","provisional",569,175,FALSE
"97",2403735,"5200","additional",0,0,TRUE
"223",2559205,"5201","provisional",6560,5423,FALSE
"224",2559206,"5202","provisional",9617,10315,FALSE
"19",1913588,"6027","additional",0,0,TRUE
"20",1913589,"6028","additional",0,0,TRUE
"21",1913590,"6029","provisional",0,4802,FALSE
"237",2685395,"6033","provisional",0,1141,FALSE
"22",1913591,"6034","approved",4698,918,FALSE
"236",2685398,"6036","provisional",0,5271,FALSE
"23",1913592,"6037","approved",6812,2147,FALSE
"16",1900697,"6038","approved",5969,1987,FALSE
"176",2482710,"6039","approved",1466,2613,FALSE
"45",2220273,"6041","approved",314,314,TRUE
"44",2220272,"6042","approved",689,712,FALSE
"43",2220271,"6043","approved",444,799,FALSE
"235",2685389,"6054","provisional",0,700,FALSE
"234",2685390,"6055","provisional",0,1459,FALSE
"120",2426475,"6064","additional",0,0,TRUE
"68",2399768,"6065","additional",0,0,TRUE
"67",2399766,"6070","provisional",3792,4748,FALSE
"135",2441253,"6071","provisional",4911,2918,FALSE
"228",2685383,"6072","provisional",1959,1859,FALSE
"86",2403697,"6073","additional",0,0,TRUE
"69",2399769,"6074","provisional",9959,10253,FALSE
"70",2399770,"6075","provisional",4911,5960,FALSE
"71",2399771,"6076","provisional",2320,3610,FALSE
"101",2403746,"6077","additional",0,0,TRUE
"227",2685381,"6078","provisional",4372,4433,FALSE
"229",2685384,"6079","provisional",2019,1911,FALSE
"150",2450484,"6083","additional",0,0,TRUE
"149",2450483,"6085","additional",0,0,TRUE
"151",2450485,"6087","additional",0,0,TRUE
"121",2426476,"6130","additional",0,0,TRUE
"144",2450477,"6133","additional",0,0,TRUE
"143",2450476,"6134","additional",0,0,TRUE
"54",2375111,"6145","additional",0,0,TRUE
"136",2441792,"6146","additional",0,0,TRUE
"102",2403747,"6202","provisional",2723,3490,FALSE
"84",2399801,"6203","additional",0,0,TRUE
"72",2399773,"6205","approved",5311,2250,FALSE
"73",2399774,"6206","approved",9376,14138,FALSE
"74",2399775,"6207","approved",8405,7056,FALSE
"75",2399776,"6208","additional",0,0,TRUE
"116",2425211,"6209","additional",0,0,TRUE
"6",1865922,"7011","additional",4803,0,FALSE
"7",1865923,"7015","additional",0,0,TRUE
"8",1865924,"7016","additional",0,0,TRUE
"37",1913610,"7018","additional",0,0,TRUE
"9",1865925,"7019","additional",0,0,TRUE
"65",2389001,"7024","additional",0,0,TRUE
"66",2389003,"7025","additional",0,0,TRUE
"24",1913593,"7026","additional",0,0,TRUE
"25",1913594,"7028","additional",0,0,TRUE
"26",1913595,"7029","additional",0,0,TRUE
"17",1900698,"7048","additional",0,0,TRUE
"211",2559186,"7050","provisional",4781,4974,FALSE
"212",2559187,"7051","provisional",2795,3862,FALSE
"213",2558781,"7060","additional",1768,0,FALSE
"214",2558782,"7061","additional",1798,0,FALSE
"153",2450844,"7083","provisional",14123,15291,FALSE
"137",2441798,"7085","approved",51834,51270,FALSE
"230",2683397,"7085b","provisional",21471,21290,FALSE
"133",2440240,"7086","approved",40617,38871,FALSE
"231",2683395,"7086a","provisional",40671,42799,FALSE
"134",2440242,"7087","provisional",8263,8099,FALSE
"10",1865926,"7088","approved",28801,27959,FALSE
"232",2683396,"7088a","provisional",8213,9693,FALSE
"152",2450843,"7089","approved",12060,13580,FALSE
"233",2683394,"7089b","provisional",5713,5240,FALSE
"124",2426482,"7093","additional",2138,0,FALSE
"123",2426480,"7094","additional",0,0,TRUE
"122",2426478,"7095","additional",0,0,TRUE
"125",2426483,"7096","provisional",1988,1505,FALSE
"146",2450479,"7097","additional",5521,0,FALSE
"147",2450480,"7098","additional",6813,0,FALSE
"148",2450481,"7099","additional",0,0,TRUE
"51",2374650,"7100","additional",489,0,FALSE
"55",2375123,"7152","additional",0,0,TRUE
"11",1865927,"7155","approved",6865,6861,FALSE
"12",1865928,"7156","approved",8437,8244,FALSE
"18",1906347,"7159","approved",9120,9827,FALSE
"215",2559188,"7165","provisional",1066,669,FALSE
"220",2559204,"7166","provisional",1635,1621,FALSE
