"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"87",2403708,"1011","additional",707,0,FALSE
"88",2403709,"1012","provisional",4708,2627,FALSE
"255",2685410,"1013","provisional",0,1197,FALSE
"183",2538426,"1030","additional",1412,0,FALSE
"184",2538427,"1031","additional",2383,0,FALSE
"237",2683398,"1090","provisional",2735,2847,FALSE
"238",2683399,"1091","provisional",1520,2157,FALSE
"250",2689449,"128","correlated",0,633,FALSE
"240",2689438,"206","correlated",0,209,FALSE
"50",2374649,"2062","additional",0,0,TRUE
"241",2689439,"207","correlated",0,494,FALSE
"242",2689440,"208","correlated",0,383,FALSE
"243",2689441,"209","correlated",0,395,FALSE
"244",2689442,"212","correlated",0,69,FALSE
"254",2659416,"220","correlated",0,51,FALSE
"251",2689448,"301","correlated",0,4498,FALSE
"36",1913607,"3020","approved",1248,1257,FALSE
"115",2425107,"3021","provisional",10670,10720,FALSE
"100",2403745,"3023","additional",0,0,TRUE
"99",2403744,"3024","additional",0,0,TRUE
"98",2403743,"3025","additional",0,0,TRUE
"38",2220264,"3030","additional",0,0,TRUE
"83",2399790,"3031","additional",0,0,TRUE
"174",2480972,"3032","additional",0,0,TRUE
"175",2480973,"3033","approved",5102,4677,FALSE
"40",2220268,"3034","additional",0,0,TRUE
"155",2451217,"3037","additional",0,0,TRUE
"39",2220266,"3038","approved",3890,3955,FALSE
"1",1865917,"3045","additional",0,0,TRUE
"2",1865918,"3046","approved",5699,5685,FALSE
"96",2403734,"3048","additional",0,0,TRUE
"154",2450845,"3058","provisional",4839,4933,FALSE
"3",1865919,"3059","additional",0,0,TRUE
"245",2689444,"401","correlated",0,67,FALSE
"182",2538418,"4040","approved",1486,1690,FALSE
"42",2220270,"4046","approved",3599,3293,FALSE
"41",2220269,"4048","approved",2332,2553,FALSE
"4",1865920,"4135","additional",0,0,TRUE
"52",2374651,"4136","provisional",3338,3287,FALSE
"207",2533533,"4200","provisional",4141,3116,FALSE
"208",2533534,"4201","provisional",4606,5405,FALSE
"218",2533535,"4202","provisional",4731,4959,FALSE
"205",2538450,"4203","additional",0,0,TRUE
"246",2689445,"451","correlated",0,1389,FALSE
"247",2689446,"475","correlated",0,624,FALSE
"5",1865921,"5011","additional",0,0,TRUE
"224",2559209,"5012","provisional",16679,16800,FALSE
"209",2559182,"5013","provisional",4480,4609,FALSE
"220",2559212,"5014","additional",0,0,TRUE
"225",2600450,"5015","provisional",1628,1113,FALSE
"248",2685407,"5016","provisional",0,295,FALSE
"185",2538428,"5051","provisional",775,799,FALSE
"186",2538429,"5052","additional",0,0,TRUE
"187",2538430,"5053","provisional",1282,1305,FALSE
"188",2538431,"5054","additional",0,0,TRUE
"189",2538432,"5057","provisional",1697,1664,FALSE
"190",2538433,"5058","additional",0,0,TRUE
"191",2538434,"5059","additional",0,0,TRUE
"85",2403696,"5100","provisional",2276,2141,FALSE
"145",2450478,"5101","provisional",1002,1558,FALSE
"206",2538451,"5102","additional",202,0,FALSE
"221",2559210,"5103","additional",175,0,FALSE
"97",2403735,"5200","additional",0,0,TRUE
"222",2559205,"5201","provisional",5423,5464,FALSE
"223",2559206,"5202","provisional",10315,10589,FALSE
"19",1913588,"6027","additional",0,0,TRUE
"20",1913589,"6028","additional",0,0,TRUE
"21",1913590,"6029","provisional",4802,6054,FALSE
"236",2685395,"6033","provisional",1141,964,FALSE
"22",1913591,"6034","approved",918,689,FALSE
"235",2685398,"6036","provisional",5271,4739,FALSE
"23",1913592,"6037","approved",2147,2225,FALSE
"16",1900697,"6038","approved",1987,2201,FALSE
"176",2482710,"6039","approved",2613,2711,FALSE
"45",2220273,"6041","approved",314,559,FALSE
"44",2220272,"6042","additional",0,0,TRUE
"43",2220271,"6043","approved",799,1329,FALSE
"234",2685389,"6054","provisional",799,821,FALSE
"233",2685390,"6055","provisional",1459,1166,FALSE
"120",2426475,"6064","additional",0,0,TRUE
"68",2399768,"6065","additional",0,0,TRUE
"67",2399766,"6070","provisional",4748,4106,FALSE
"135",2441253,"6071","provisional",2918,2774,FALSE
"227",2685383,"6072","provisional",1859,2084,FALSE
