"","MUSYM","Area","MURecID","Status","Legend_Acres","Spatial_Acres","Change","Match"
"57","7086","CA630","2440240","correlated",37033,39187,2154,FALSE
"14","8173","CA630","1913601","correlated",34449,36465,2016,FALSE
"70","W","CA630","2373912","correlated",32884,34815,1931,FALSE
"98","7076","CA630","2683395","correlated",41093,43015,1922,FALSE
"97","7074","CA630","2683397","correlated",24144,25562,1418,FALSE
"27","8172","CA630","2383084","correlated",22906,24241,1335,FALSE
"125","7065","missing","missing","missing",0,1304,1304,FALSE
"6","8034","CA630","1865930","correlated",21518,22777,1259,FALSE
"65","8162","CA630","2452459","correlated",21387,22639,1252,FALSE
"60","7085","CA630","2441798","correlated",42973,44188,1215,FALSE
"63","7083","CA630","2450844","correlated",18774,19866,1092,FALSE
"75","7211","CA630","2538421","correlated",17222,18226,1004,FALSE
"128","7092","missing","missing","missing",0,969,969,FALSE
"92","5012","CA630","2559209","correlated",15864,16798,934,FALSE
"24","8161","CA630","2220301","correlated",15088,15970,882,FALSE
"76","7212","CA630","2538420","correlated",14822,15692,870,FALSE
"33","6206","CA630","2399774","correlated",13338,14111,773,FALSE
"62","7089","CA630","2450843","correlated",12639,13378,739,FALSE
"7","8036","CA630","1865931","correlated",12165,12879,714,FALSE
"50","8176","CA630","2424963","correlated",11966,12664,698,FALSE
"5","8033","CA630","1865929","correlated",10873,11512,639,FALSE
"52","3021","CA630","2425107","correlated",10123,10727,604,FALSE
"29","6074","CA630","2399769","correlated",10276,10874,598,FALSE
"91","5202","CA630","2559206","correlated",9999,10586,587,FALSE
"74","7210","CA630","2538422","correlated",9968,10552,584,FALSE
"99","7078","CA630","2683396","correlated",9583,10147,564,FALSE
"13","7207","CA630","1913600","correlated",9604,10164,560,FALSE
"9","7159","CA630","1906347","correlated",9314,9861,547,FALSE
"58","7087","CA630","2440242","correlated",8568,9073,505,FALSE
"126","7066","missing","missing","missing",0,475,475,FALSE
"4","7156","CA630","1865928","correlated",8003,8473,470,FALSE
"2","7088","CA630","1865926","correlated",27049,27512,463,FALSE
"35","8110","CA630","2399780","correlated",7785,8241,456,FALSE
"26","8171","CA630","2383083","correlated",7447,7884,437,FALSE
"16","8177","CA630","1913605","correlated",7404,7836,432,FALSE
"17","8178","CA630","1913606","correlated",6959,7372,413,FALSE
"34","6207","CA630","2399775","correlated",7081,7494,413,FALSE
"53","8026","CA630","2426355","correlated",6888,7290,402,FALSE
"36","8115","CA630","2399783","correlated",6839,7239,400,FALSE
"100","7079","CA630","2683394","correlated",5120,5514,394,FALSE
"3","7155","CA630","1865927","correlated",6608,6996,388,FALSE
"73","8194","CA630","2483494","correlated",6293,6659,366,FALSE
"30","6075","CA630","2399770","correlated",6017,6371,354,FALSE
"10","6029","CA630","1913590","correlated",5717,6054,337,FALSE
"1","3046","CA630","1865918","correlated",5368,5684,316,FALSE
"15","8160","CA630","1913602","correlated",5250,5557,307,FALSE
"84","4201","CA630","2533534","correlated",5104,5406,302,FALSE
"90","5201","CA630","2559205","correlated",5160,5462,302,FALSE
