"","Area","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","Change","match"
"117",NA,NA,"7066",NA,0,21423,21423,FALSE
"91","CA649",2683396,"7078","correlated",160,19886,19726,FALSE
"97","CA649",2450843,"7089","correlated",401,15935,15534,FALSE
"119",NA,NA,"7092",NA,0,15071,15071,FALSE
"120",NA,NA,"7096",NA,0,14248,14248,FALSE
"96","CA649",1865926,"7088","correlated",2048,15515,13467,FALSE
"118",NA,NA,"7091",NA,0,11530,11530,FALSE
"84","CA649",2450844,"7083","correlated",185,8772,8587,FALSE
"116",NA,NA,"7065",NA,0,8224,8224,FALSE
"92","CA649",2683394,"7079","correlated",764,8126,7362,FALSE
"89","CA649",2683397,"7074","correlated",4,6454,6450,FALSE
"35","CA649",463263,"DaE","correlated",17387,21613,4226,FALSE
"90","CA649",2683395,"7076","correlated",1418,5548,4130,FALSE
"94","CA649",2440240,"7086","correlated",777,4567,3790,FALSE
"68","CA649",463296,"SaF","correlated",8563,12030,3467,FALSE
"95","CA649",2440242,"7087","correlated",59,3359,3300,FALSE
"55","CA649",463283,"MbH2","correlated",12071,14680,2609,FALSE
"101","CA649",1865930,"8034","correlated",251,1952,1701,FALSE
"37","CA649",463265,"DbG","correlated",17289,18930,1641,FALSE
"38","CA649",463266,"HaG","correlated",4833,6437,1604,FALSE
"34","CA649",463262,"DaD","correlated",3424,4817,1393,FALSE
"77","CA649",2373912,"W","correlated",7346,8708,1362,FALSE
"83","CA649",463305,"W","additional",7439,8708,1269,FALSE
"6","CA649",463234,"AeD","correlated",371,1495,1124,FALSE
"1","CA649",463229,"AaC","correlated",1083,2197,1114,FALSE
"67","CA649",463295,"SaE","correlated",3996,4989,993,FALSE
"64","CA649",463292,"Rb","correlated",2218,3170,952,FALSE
"71","CA649",463299,"SdD2","correlated",1212,2130,918,FALSE
"78","CA649",463306,"WaF","correlated",3243,4113,870,FALSE
"100","CA649",1865929,"8033","correlated",655,1480,825,FALSE
"10","CA649",463238,"AgG2","correlated",2987,3796,809,FALSE
"73","CA649",463301,"SeF2","correlated",8790,9530,740,FALSE
"27","CA649",463255,"BmG2","correlated",1821,2545,724,FALSE
"8","CA649",463236,"AfE2","correlated",3184,3727,543,FALSE
"66","CA649",463294,"SaD","correlated",3461,3936,475,FALSE
"57","CA649",463285,"MdG2","correlated",1827,2231,404,FALSE
"28","CA649",2659468,"BoD","correlated",266,666,400,FALSE
"82","CA649",463256,"BoD","additional",266,666,400,FALSE
"75","CA649",463303,"TaE2","correlated",710,1059,349,FALSE
"9","CA649",463237,"AgE","correlated",8685,8956,271,FALSE
"56","CA649",463284,"McE","correlated",1614,1855,241,FALSE
"61","CA649",463289,"MfF2","correlated",8151,8386,235,FALSE
"36","CA649",463264,"DbE","correlated",23516,23738,222,FALSE
"53","CA649",463281,"MaG2","correlated",1622,1809,187,FALSE
"62","CA649",463290,"PaD","correlated",807,942,135,FALSE
"25","CA649",463253,"BlD","correlated",5207,5323,116,FALSE
"40","CA649",463268,"HcF","correlated",1376,1484,108,FALSE
"50","CA649",463278,"LcF","correlated",1093,1175,82,FALSE
"87","CA649",2399770,"6075","correlated",1,65,64,FALSE
"74","CA649",463302,"TaD2","correlated",1789,1848,59,FALSE
"109","CA649",1913605,"8177","correlated",599,641,42,FALSE
"81","CA649",894254,"QU","correlated",77,118,41,FALSE
"60","CA649",463288,"MfD2","correlated",1205,1242,37,FALSE
"63","CA649",463291,"RaD","correlated",3093,3116,23,FALSE
"5","CA649",463233,"AdG","correlated",9264,9284,20,FALSE
"99","CA649",1906347,"7159","correlated",268,285,17,FALSE
"59","CA649",463287,"MeE2","correlated",239,256,17,FALSE
"39","CA649",463267,"HbC","correlated",448,452,4,FALSE
"79","CA649",894252,"DAM","correlated",46,49,3,FALSE
"58","CA649",463286,"MeD2","correlated",531,533,2,FALSE
"110","CA649",2441253,"6071","correlated",267,267,0,TRUE
"85","CA649",2685383,"6072","correlated",3,3,0,TRUE
"88","CA649",2685384,"6079","correlated",20,20,0,TRUE
"102","CA649",2399783,"8115","correlated",59,59,0,TRUE
"103","CA649",1913602,"8160","correlated",14,14,0,TRUE
"104","CA649",2220301,"8161","correlated",19,19,0,TRUE
"105","CA649",2383083,"8171","correlated",687,687,0,TRUE
"106","CA649",2383084,"8172","correlated",410,410,0,TRUE
"108","CA649",1913601,"8173","correlated",313,313,0,TRUE
"107","CA649",2424962,"8175","correlated",35,35,0,TRUE
"43","CA649",463271,"JbF2","correlated",407,407,0,TRUE
"86","CA649",2399769,"6074","correlated",161,160,-1,FALSE
"80","CA649",894253,"MD","correlated",50,49,-1,FALSE
"42","CA649",463270,"JbE2","correlated",347,345,-2,FALSE
"98","CA649",1865928,"7156","correlated",85,78,-7,FALSE
"70","CA649",463298,"ScB","correlated",121,110,-11,FALSE
"44","CA649",463272,"JcD2","correlated",391,304,-87,FALSE
"49","CA649",463277,"LbE","correlated",917,816,-101,FALSE
"23","CA649",463251,"BgE","correlated",1083,978,-105,FALSE
"69","CA649",463297,"SbE","correlated",7155,7030,-125,FALSE
"48","CA649",463276,"JeF2","correlated",1249,1122,-127,FALSE
"41","CA649",463269,"JbD2","correlated",448,226,-222,FALSE
"72","CA649",463300,"SeD2","correlated",2822,2583,-239,FALSE
"2","CA649",463230,"AaD","correlated",1875,1589,-286,FALSE
"52","CA649",463280,"MaF2","correlated",5392,5089,-303,FALSE
"47","CA649",463275,"JdG2","correlated",1385,1053,-332,FALSE
"22","CA649",463250,"BgD","correlated",4102,3746,-356,FALSE
"4","CA649",463232,"AcE","correlated",23630,23238,-392,FALSE
"31","CA649",463259,"BrF3","correlated",1088,649,-439,FALSE
"19","CA649",463247,"BeD","correlated",467,0,-467,FALSE
"29","CA649",463257,"BoF","additional",508,0,-508,FALSE
"45","CA649",463273,"JcE2","correlated",1023,477,-546,FALSE
"51","CA649",463279,"LdC","correlated",6751,6186,-565,FALSE
"26","CA649",463254,"BlF","correlated",16777,16186,-591,FALSE
"3","CA649",463231,"AbE","correlated",602,5,-597,FALSE
"46","CA649",463274,"JcF2","correlated",3189,2547,-642,FALSE
"7","CA649",463235,"AfD","correlated",4441,3739,-702,FALSE
"33","CA649",463261,"CaC","correlated",1956,1148,-808,FALSE
"54","CA649",463282,"MbG3","correlated",25926,24931,-995,FALSE
"32","CA649",463260,"BrG2","correlated",1285,244,-1041,FALSE
"93","CA649",2441798,"7085","correlated",1476,88,-1388,FALSE
"21","CA649",463249,"BfG","correlated",1889,0,-1889,FALSE
"12","CA649",463240,"AhE2","correlated",3676,0,-3676,FALSE
"18","CA649",463246,"BdE","correlated",4769,1067,-3702,FALSE
"111","CA649",2746151,"7083b","provisional",3738,0,-3738,FALSE
"24","CA649",463252,"BkE2","correlated",3748,0,-3748,FALSE
"114","CA649",2746155,"7079b","provisional",3916,0,-3916,FALSE
"13","CA649",463241,"AkF2","correlated",4402,0,-4402,FALSE
"17","CA649",463245,"BdD","correlated",5001,0,-5001,FALSE
"30","CA649",463258,"BrF2","correlated",8808,3695,-5113,FALSE
"112","CA649",2746152,"7085b","provisional",7563,0,-7563,FALSE
"20","CA649",463248,"BeF","correlated",8460,145,-8315,FALSE
"11","CA649",463239,"AhD","correlated",9155,0,-9155,FALSE
"65","CA649",463293,"RcG","correlated",20251,10404,-9847,FALSE
"76","CA649",463304,"TbF2","correlated",11775,0,-11775,FALSE
"14","CA649",463242,"AmG3","correlated",13001,0,-13001,FALSE
"115","CA649",2746154,"7078b","provisional",14215,0,-14215,FALSE
"113","CA649",2746153,"7076b","provisional",19679,0,-19679,FALSE
"16","CA649",463244,"AnG2","correlated",36786,0,-36786,FALSE
"15","CA649",463243,"AnE","correlated",46268,0,-46268,FALSE
