"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"191","1013","MLRA 18 - 2x4d4 Mined Land-Anthraltic Xerorthents cplx, 1 to 15","Anthraltic Xerorthents",30,"taxon above family","excessively",15,8,NA,NA,8,NA,NA,"stream terrace",100,FALSE,2,90,10,"6",3,"NA","NA"
"288","1090","CA6301090","Miltonhills",2,"series","well",30,4,"e","1",4,"e","1","low hill",120,FALSE,5,10,10,"2a",4,"e","8"
"287","1090","CA6301090","Amador",5,"series","well",8,7,"e",NA,7,"e",NA,"low hill",37,FALSE,16,15,20,"4a",2,"e","NA"
"286","1090","CA6301090","Mollic Haploxeralfs",30,"family","well",30,4,"e","3",4,"e","3","terrace",68,TRUE,24.6774193548387,15,20,"2a",4,"e","8"
"285","1090","CA6301090","Ultic Haploxeralfs",60,"family","well",30,4,"e","7",4,"e","7","terrace",152,TRUE,20.445652173913,25,20,"2a",4,"e","7"
"290","1091","CA6301091","Aquic Dystroxerepts",20,"family","somewhat poorly",8,5,"e",NA,5,"e",NA,"stream terrace",200,FALSE,26.5230769230769,14,25,"1d",2,"e","NA"
"289","1091","CA6301091","Ultic Haploxeralfs",80,"family","well",8,3,"e","7",3,"e","7","stream terrace",152,TRUE,21,25,20,"2a",2,"e","7"
"364","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Columbia",1,"series","somewhat poorly",2,3,"w","2",2,"w","2","flood plain",152,FALSE,13.8026315789474,3,18,"7",1,"w","2"
"365","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Honcut",1,"series","well",2,3,"c",NA,2,"s","1","flood plain",152,FALSE,10.7631578947368,15,12,"7",1,"w","1"
"363","128","MLRA 17 - 2x8lf Cogna FSL, 0 to 2, overwash","Veritas",3,"series","moderately well",2,3,"s","8",3,"s","8","fan remnant",137,FALSE,10.5,6,16,"2a",1,"s","8"
