"","order","genhz","mean_bs7","sd_bs7","n"
"1","GELISOLS","A",76.5365853658537,30.7344249669451,41
"2","HISTOSOLS","A",56.8461538461538,40.3129458516599,39
"3","SPODOSOLS","A",32.5406976744186,28.1033821477339,344
"4","ANDISOLS","A",36.206374501992,26.7183542485533,1255
"5","OXISOLS","A",29.665,28.8261190215508,400
"6","VERTISOLS","A",95.2419984387197,10.8139442851867,1281
"7","ARIDISOLS","A",97.9556400506971,6.77573183719318,2367
"8","ULTISOLS","A",41.9196606786427,28.5845176982848,4008
"9","MOLLISOLS","A",88.2785812393956,16.4762602031444,12377
"10","ALFISOLS","A",68.4686520376176,28.3913192677464,10208
"11","INCEPTISOLS","A",53.2069479965899,34.6197976412643,4692
"12","ENTISOLS","A",77.0309341500766,32.0646743980938,3265
