"","order","genhz","mean_bs7","sd_bs7","n"
"1","GELISOLS","B",70.5068493150685,35.2452216176854,73
"2","HISTOSOLS","B",40.7179487179487,46.0331395032276,39
"3","SPODOSOLS","B",21.5981341944743,28.4433916609964,2787
"4","ANDISOLS","B",37.3529914529915,31.3178578619325,2340
"5","OXISOLS","B",27.3155386081983,30.8356044320146,1049
"6","VERTISOLS","B",97.0295047418335,9.96461627524564,2847
"7","ARIDISOLS","B",99.0413053064824,5.778212344828,6803
"8","ULTISOLS","B",28.1254515599343,20.3816875866732,15225
"9","MOLLISOLS","B",91.6874260938116,15.9923654967851,20296
"10","ALFISOLS","B",68.7920694417045,27.8503412047953,35483
"11","INCEPTISOLS","B",53.1627397831526,36.5260385527539,9592
"12","ENTISOLS","B",65.6661891117479,37.7928260746123,2792
