"","order","genhz","mean_bs7","sd_bs7","n"
"1","GELISOLS","C",79.3859649122807,31.6000420354405,57
"2","HISTOSOLS","C",72.9837837837838,37.6737245067947,185
"3","SPODOSOLS","C",30.2419503219871,34.6464299429963,1087
"4","ANDISOLS","C",49.128,31.9009060651938,875
"5","OXISOLS","C",18.3881578947368,24.7913276179594,152
"6","VERTISOLS","C",98.1538461538462,8.33331178622511,715
"7","ARIDISOLS","C",98.6907730673317,7.37462977897273,1203
"8","ULTISOLS","C",27.9387083504731,23.2164609860716,2431
"9","MOLLISOLS","C",95.0933561537265,13.940125770253,6427
"10","ALFISOLS","C",83.0334796034455,24.1653355719151,6153
"11","INCEPTISOLS","C",61.7425492893168,36.7334014817461,4362
"12","ENTISOLS","C",79.5258358662614,31.6988940872669,5922
