"","order","genhz","mean_bs7","sd_bs7","n"
"1","GELISOLS","k",NA,NA,0
"2","HISTOSOLS","k",100,0,6
"3","SPODOSOLS","k",100,0,4
"4","ANDISOLS","k",100,0,13
"5","OXISOLS","k",NA,NA,0
"6","VERTISOLS","k",99.7476635514019,2.37027688184572,1070
"7","ARIDISOLS","k",99.8134267996765,2.47211478202707,3709
"8","ULTISOLS","k",NA,NA,0
"9","MOLLISOLS","k",99.8145712782746,2.4363657616395,3802
"10","ALFISOLS","k",99.7927300850735,3.90665579381279,1293
"11","INCEPTISOLS","k",99.7883211678832,2.52018360318775,685
"12","ENTISOLS","k",99.9250645994832,1.47415284654851,387
