"","order","genhz","mean_bs7","sd_bs7","n"
"1","GELISOLS","n",NA,NA,0
"2","HISTOSOLS","n",NA,NA,0
"3","SPODOSOLS","n",NA,NA,0
"4","ANDISOLS","n",NA,NA,0
"5","OXISOLS","n",NA,NA,0
"6","VERTISOLS","n",100,0,63
"7","ARIDISOLS","n",99.9844155844156,0.227683611267537,385
"8","ULTISOLS","n",38.8333333333333,26.7014356667702,6
"9","MOLLISOLS","n",99.4324324324324,2.27630207053759,185
"10","ALFISOLS","n",95.2072538860104,12.1273000062015,193
"11","INCEPTISOLS","n",100,0,69
"12","ENTISOLS","n",92.5512820512821,16.3609032201512,78
