"","order","genhz","mean_bs7","sd_bs7","n"
"1","GELISOLS","y",NA,NA,0
"2","HISTOSOLS","y",NA,NA,0
"3","SPODOSOLS","y",4.16666666666667,11.3844657584825,12
"4","ANDISOLS","y",NA,NA,0
"5","OXISOLS","y",2,NA,1
"6","VERTISOLS","y",99.8338870431894,1.91632839231647,301
"7","ARIDISOLS","y",98.3861386138614,11.2871698979924,505
"8","ULTISOLS","y",25,NA,1
"9","MOLLISOLS","y",100,0,139
"10","ALFISOLS","y",97.3571428571429,8.27922768230772,84
"11","INCEPTISOLS","y",99.078125,7.375,64
"12","ENTISOLS","y",99.6363636363636,3.10424928708434,88
