"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"1","Mollisols","Xerolls","Haploxerolls","ABIN","20","40","inches","Fine, mixed, superactive, mesic Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Fine, mixed, superactive, mesic",50.8,101.6
"2","Mollisols","Aquolls","Endoaquolls","AGEE","10","24","inches","Fine, smectitic, thermic Vertic Endoaquolls","vertic endoaquolls","IBGD","Fine, smectitic, thermic",25.4,60.96
"3","Mollisols","Aquolls","Endoaquolls","AHOLT","10","24","inches","Very-fine, smectitic, calcareous, mesic Vertic Endoaquolls","vertic endoaquolls","IBGD","Very-fine, smectitic, calcareous, mesic",25.4,60.96
"4","Mollisols","Aquolls","Endoaquolls","ALGOMA","7","15","inches","Ashy over sandy or sandy-skeletal, glassy over mixed, calcareous, mesic Aquandic Endoaquolls","aquandic endoaquolls","IBGG","Ashy over sandy or sandy-skeletal, glassy over mixed, calcareous, mesic",17.78,38.1
"5","Mollisols","Xerolls","Haploxerolls","ALICEL","20","36","inches","Fine-loamy, mixed, superactive, mesic Pachic Haploxerolls","pachic haploxerolls","IFFS","Fine-loamy, mixed, superactive, mesic",50.8,91.44
"6","Mollisols","Aquolls","Cryaquolls","ALMONT","8","20","inches","Fine-loamy, mixed, superactive Cumulic Cryaquolls","cumulic cryaquolls","IBAG","Fine-loamy, mixed, superactive",20.32,50.8
"7","Mollisols","Aquolls","Endoaquolls","AMBRAW","10","24","inches","Fine-loamy, mixed, superactive, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-loamy, mixed, superactive, mesic",25.4,60.96
"8","Mollisols","Xerolls","Haploxerolls","AMMON","7","15","inches","Coarse-silty, mixed, superactive, frigid Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Coarse-silty, mixed, superactive, frigid",17.78,38.1
"9","Mollisols","Cryolls","Haplocryolls","ANNIECREEK","20","35","inches","Ashy, glassy Vitrandic Haplocryolls","vitrandic haplocryolls","IEFD","Ashy, glassy",50.8,88.9
"10","Mollisols","Cryolls","Haplocryolls","ARKSON","10","16","inches","Coarse-loamy, mixed, superactive Xeric Haplocryolls","xeric haplocryolls","IEFO","Coarse-loamy, mixed, superactive",25.4,40.64
"11","Mollisols","Ustolls","Calciustolls","ARLE","7","15","inches","Loamy-skeletal, mixed, superactive, frigid Aridic Calciustolls","aridic calciustolls","IGCL","Loamy-skeletal, mixed, superactive, frigid",17.78,38.1
"12","Mollisols","Aquolls","Endoaquolls","ASHKUM","25","61","cm","Fine, mixed, superactive, mesic Typic Endoaquolls","typic endoaquolls","IBGK","Fine, mixed, superactive, mesic",25,61
"13","Mollisols","Cryolls","Haplocryolls","AUZQUI","7","15","inches","Fine-loamy, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Fine-loamy, mixed, superactive",17.78,38.1
"14","Mollisols","Ustolls","Haplustolls","AZELTINE","6","14","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",15.24,35.56
"15","Mollisols","Xerolls","Calcixerolls","BANNOCK","6","11","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Aridic Calcixerolls","aridic calcixerolls","IFDH","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",15.24,27.94
"16","Mollisols","Ustolls","Haplustolls","BAUX","5","18","inches","Loamy-skeletal over fragmental, mixed, superactive, mesic Aridic Haplustolls","aridic haplustolls","IGGY","Loamy-skeletal over fragmental, mixed, superactive, mesic",12.7,45.72
"17","Mollisols","Ustolls","Haplustolls","BAYARD","20","51","centimeters","Coarse-loamy, mixed, superactive, mesic Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Coarse-loamy, mixed, superactive, mesic",20,51
"18","Vertisols","Aquerts","Epiaquerts","BEAUFORD","12","24","inches","Very-fine, smectitic, mesic Typic Epiaquerts","typic epiaquerts","FAGJ","Very-fine, smectitic, mesic",30.48,60.96
"19","Mollisols","Ustolls","Calciustolls","BEEK","20","30","inches","Fine-loamy, mixed, superactive, mesic Pachic Calciustolls","pachic calciustolls","IGCK","Fine-loamy, mixed, superactive, mesic",50.8,76.2
"20","Vertisols","Usterts","Haplusterts","BELMEAR","0","6","inches","Fine, smectitic, frigid Aridic Haplusterts","aridic haplusterts","FEEH","Fine, smectitic, frigid",0,15.24
"21","Mollisols","Xerolls","Haploxerolls","BENCO","8","14","inches","Loamy-skeletal, mixed, superactive, mesic Typic Haploxerolls","typic haploxerolls","IFFZh","Loamy-skeletal, mixed, superactive, mesic",20.32,35.56
"22","Mollisols","Xerolls","Haploxerolls","BENGE","9","14","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Haploxerolls","typic haploxerolls","IFFZh","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",22.86,35.56
"23","Mollisols","Aquolls","Endoaquolls","BIG BLUE","14","18","inches","Fine, smectitic, calcareous, frigid Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine, smectitic, calcareous, frigid",35.56,45.72
"24","Andisols","Cryands","Vitricryands","BIGCINDER","10","15","inches","Ashy-skeletal over fragmental or cindery, aniso, glassy Humic Xeric Vitricryands","humic xeric vitricryands","DCEG","Ashy-skeletal over fragmental or cindery, aniso, glassy",25.4,38.1
"25","Mollisols","Aquolls","Endoaquolls","BIGSTONE","24","60","inches","Fine-silty, mixed, superactive, calcareous, frigid Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-silty, mixed, superactive, calcareous, frigid",60.96,152.4
"26","Mollisols","Aquolls","Endoaquolls","BITTERCREEK","10","20","inches","Coarse-loamy over sandy or sandy-skeletal, isotic over mixed, frigid Aquandic Endoaquolls","aquandic endoaquolls","IBGG","Coarse-loamy over sandy or sandy-skeletal, isotic over mixed, frigid",25.4,50.8
