"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"1","Mollisols","Ustolls","Haplustolls","ABERONE","7","20","inches","Loamy-skeletal, carbonatic, mesic Aridic Haplustolls","aridic haplustolls","IGGY","Loamy-skeletal, carbonatic, mesic",17.78,50.8
"2","Mollisols","Xerolls","Haploxerolls","AGASSIZ","7","19","inches","Loamy-skeletal, mixed, superactive, frigid Lithic Haploxerolls","lithic haploxerolls","IFFC","Loamy-skeletal, mixed, superactive, frigid",17.78,48.26
"3","Mollisols","Xerolls","Haploxerolls","AGENCY","7","16","inches","Fine-loamy, mixed, superactive, mesic Aridic Haploxerolls","aridic haploxerolls","IFFY","Fine-loamy, mixed, superactive, mesic",17.78,40.64
"4","Mollisols","Aquolls","Endoaquolls","ALGOMA","7","15","inches","Ashy over sandy or sandy-skeletal, glassy over mixed, calcareous, mesic Aquandic Endoaquolls","aquandic endoaquolls","IBGG","Ashy over sandy or sandy-skeletal, glassy over mixed, calcareous, mesic",17.78,38.1
"5","Mollisols","Ustolls","Natrustolls","ALKABO","7","18","inches","Fine-silty, mixed, superactive, frigid Glossic Natrustolls","glossic natrustolls","IGBK","Fine-silty, mixed, superactive, frigid",17.78,45.72
"6","Mollisols","Udolls","Hapludolls","ALLIVAR","7","20","inches","Sandy, mixed, frigid Calcic Hapludolls","calcic hapludolls","IHFQ","Sandy, mixed, frigid",17.78,50.8
"7","Mollisols","Xerolls","Haploxerolls","ALPOWA","7","15","inches","Loamy-skeletal, mixed, superactive, mesic Calcic Haploxerolls","calcic haploxerolls","IFFZd","Loamy-skeletal, mixed, superactive, mesic",17.78,38.1
"8","Mollisols","Ustolls","Argiustolls","ALTVAN","18","51","centimeters","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",18,51
"9","Mollisols","Cryolls","Argicryolls","ALVARADO","7","15","inches","Loamy-skeletal, mixed, superactive Aquic Argicryolls","aquic argicryolls","IEDF","Loamy-skeletal, mixed, superactive",17.78,38.1
"10","Mollisols","Xerolls","Haploxerolls","AMMON","7","15","inches","Coarse-silty, mixed, superactive, frigid Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Coarse-silty, mixed, superactive, frigid",17.78,38.1
"11","Mollisols","Cryolls","Argicryolls","AMSDEN","7","15","inches","Fine-loamy, mixed, superactive Ustic Argicryolls","ustic argicryolls","IEDL","Fine-loamy, mixed, superactive",17.78,38.1
"12","Mollisols","Xerolls","Haploxerolls","ANDERS","7","20","inches","Coarse-loamy, mixed, superactive, mesic Typic Haploxerolls","typic haploxerolls","IFFZh","Coarse-loamy, mixed, superactive, mesic",17.78,50.8
"13","Mollisols","Ustolls","Calciustolls","ANDYS","7","8","inches","Coarse-loamy, mixed, superactive, frigid Aridic Calciustolls","aridic calciustolls","IGCL","Coarse-loamy, mixed, superactive, frigid",17.78,20.32
"14","Mollisols","Ustolls","Haplustolls","ANSELMO","18","51","centimeters","Coarse-loamy, mixed, superactive, mesic Typic Haplustolls","typic haplustolls","IGGZe","Coarse-loamy, mixed, superactive, mesic",18,51
"15","Mollisols","Aquolls","Calciaquolls","ANTLER","7","16","inches","Fine-loamy, mixed, superactive, frigid Aeric Calciaquolls","aeric calciaquolls","IBDB","Fine-loamy, mixed, superactive, frigid",17.78,40.64
"16","Mollisols","Cryolls","Haplocryolls","ANTROBUS","7","16","inches","Loamy-skeletal, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Loamy-skeletal, mixed, superactive",17.78,40.64
"17","Mollisols","Xerolls","Calcixerolls","ANTY","7","16","inches"," Coarse-loamy, mixed, active, mesic Typic Calcixerolls","typic calcixerolls","IFDJ","Coarse-loamy, mixed, active, mesic",17.78,40.64
"18","Mollisols","Udolls","Hapludolls","ARKTON","18","30","cm","Fine-loamy, mixed, superactive, mesic Aquic Hapludolls","aquic hapludolls","IHFN","Fine-loamy, mixed, superactive, mesic",18,30
"19","Mollisols","Ustolls","Calciustolls","ARLE","7","15","inches","Loamy-skeletal, mixed, superactive, frigid Aridic Calciustolls","aridic calciustolls","IGCL","Loamy-skeletal, mixed, superactive, frigid",17.78,38.1
"20","Mollisols","Aquolls","Calciaquolls","ARLO","7","30","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Typic Calciaquolls","typic calciaquolls","IBDC","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",17.78,76.2
"21","Mollisols","Ustolls","Haplustolls","ARMO","7","20","inches","Fine-loamy, mixed, mesic Entic Haplustolls","entic haplustolls","IGGZd","Fine-loamy, mixed, mesic",17.78,50.8
"22","Mollisols","Udolls","Hapludolls","ARVILLA","7","20","inches","Sandy, mixed, frigid Calcic Hapludolls","calcic hapludolls","IHFQ","Sandy, mixed, frigid",17.78,50.8
"23","Mollisols","Ustolls","Argiustolls","ASCALON","18","51","centimeters","Fine-loamy, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy, mixed, superactive, mesic",18,51
"24","Mollisols","Xerolls","Argixerolls","ASHUE","7","12","inches","Loamy-skeletal, mixed, superactive, mesic Aridic Argixerolls","aridic argixerolls","IFES","Loamy-skeletal, mixed, superactive, mesic",17.78,30.48
"25","Mollisols","Xerolls","Argixerolls","ATERON","7","14","inches","Clayey-skeletal, smectitic, frigid Lithic Argixerolls","lithic argixerolls","IFEC","Clayey-skeletal, smectitic, frigid",17.78,35.56
"26","Vertisols","Uderts","Hapluderts","AUDUBON","7","16","inches","Fine, smectitic, frigid Aquic Hapluderts","aquic hapluderts","FFBB","Fine, smectitic, frigid",17.78,40.64
"27","Mollisols","Aquolls","Calciaquolls","AUGSBURG","7","20","inches","Coarse-silty over clayey, mixed over smectitic, superactive, frigid Typic Calciaquolls","typic calciaquolls","IBDC","Coarse-silty over clayey, mixed over smectitic, superactive, frigid",17.78,50.8
"28","Mollisols","Cryolls","Haplocryolls","AUZQUI","7","15","inches","Fine-loamy, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Fine-loamy, mixed, superactive",17.78,38.1
"29","Mollisols","Xerolls","Durixerolls","AYRESBUTTE","7","14","inches","Loamy-skeletal, mixed, superactive, mesic Vitritorrandic Durixerolls","vitritorrandic durixerolls","IFAB","Loamy-skeletal, mixed, superactive, mesic",17.78,35.56
"30","Mollisols","Ustolls","Haplustolls","BAAHISH","7","10","inches","Loamy-skeletal, mixed, superactive, frigid Entic Haplustolls","entic haplustolls","IGGZd","Loamy-skeletal, mixed, superactive, frigid",17.78,25.4
"31","Mollisols","Xerolls","Argixerolls","BADENA","18","40","cm","Loamy-skeletal, mixed, superactive, mesic Aridic Argixerolls","aridic argixerolls","IFES","Loamy-skeletal, mixed, superactive, mesic",18,40
"32","Mollisols","Udolls","Calciudolls","BALATON","7","18","inches","Fine-loamy, mixed, superactive, frigid Aquic Calciudolls","aquic calciudolls","IHBD","Fine-loamy, mixed, superactive, frigid",17.78,45.72
"33","Mollisols","Xerolls","Haploxerolls","BALDER","7","12","inches","Loamy, mixed, superactive, mesic, shallow Vitrandic Haploxerolls","vitrandic haploxerolls","IFFH","Loamy, mixed, superactive, mesic, shallow",17.78,30.48
"34","Mollisols","Xerolls","Haploxerolls","BALDKNOB","18","30","cm","Loamy-skeletal, mixed, superactive, frigid Lithic Ultic Haploxerolls","lithic ultic haploxerolls","IFFB","Loamy-skeletal, mixed, superactive, frigid",18,30
"35","Mollisols","Xerolls","Argixerolls","BAMOS","18","38","cm","Fine-loamy, mixed, superactive, mesic Calciargidic Argixerolls","calciargidic argixerolls","IFER","Fine-loamy, mixed, superactive, mesic",18,38
