"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"1","Mollisols","Xerolls","Durixerolls","AARUP","4","12","inches","Ashy, glassy, mesic, shallow Vitritorrandic Durixerolls","vitritorrandic durixerolls","IFAB","Ashy, glassy, mesic, shallow",10.16,30.48
"2","Mollisols","Cryolls","Argicryolls","ABES","6","12","inches","Clayey, smectitic Lithic Argicryolls","lithic argicryolls","IEDA","Clayey, smectitic",15.24,30.48
"3","Mollisols","Ustolls","Haplustolls","ANNABERG","6","16","inches"," Loamy-skeletal, mixed, superactive, isohyperthermic Lithic Haplustolls","lithic haplustolls","IGGD","Loamy-skeletal, mixed, superactive, isohyperthermic",15.24,40.64
"4","Mollisols","Xerolls","Argixerolls","ARGABAK","5","7","inches","Loamy-skeletal, mixed, superactive, mesic Aridic Lithic Argixerolls","aridic lithic argixerolls","IFEA","Loamy-skeletal, mixed, superactive, mesic",12.7,17.78
"5","Mollisols","Ustolls","Haplustolls","AZELTINE","6","14","inches","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Fine-loamy over sandy or sandy-skeletal, mixed, superactive, mesic",15.24,35.56
"6","Mollisols","Xerolls","Calcixerolls","BANNOCK","6","11","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Aridic Calcixerolls","aridic calcixerolls","IFDH","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",15.24,27.94
"7","Mollisols","Ustolls","Haplustolls","BAUX","5","18","inches","Loamy-skeletal over fragmental, mixed, superactive, mesic Aridic Haplustolls","aridic haplustolls","IGGY","Loamy-skeletal over fragmental, mixed, superactive, mesic",12.7,45.72
"8","Vertisols","Usterts","Haplusterts","BELMEAR","0","6","inches","Fine, smectitic, frigid Aridic Haplusterts","aridic haplusterts","FEEH","Fine, smectitic, frigid",0,15.24
"9","Mollisols","Ustolls","Haplustolls","CORPENING","4","14","inches","Loamy, mixed, superactive, frigid Lithic Haplustolls","lithic haplustolls","IGGD","Loamy, mixed, superactive, frigid",10.16,35.56
"10","Mollisols","Xerolls","Argixerolls","DEWMINE","6","19","inches","Clayey-skeletal, magnesic, frigid Lithic Argixerolls","lithic argixerolls","IFEC","Clayey-skeletal, magnesic, frigid",15.24,48.26
"11","Alfisols","Ustalfs","Haplustalfs","FORTYONE","10","51","cm","Coarse-loamy, mixed, superactive, thermic Typic Haplustalfs","typic haplustalfs","JCHX","Coarse-loamy, mixed, superactive, thermic",10,51
"12","Mollisols","Ustolls","Haplustolls","GARZA","0","10","inches","Fine-loamy, mixed, superactive, frigid Pachic Haplustolls","pachic haplustolls","IGGU","Fine-loamy, mixed, superactive, frigid",0,25.4
"13","Mollisols","Cryolls","Haplocryolls","GREYBACK","5","16","inches","Loamy-skeletal, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Loamy-skeletal, mixed, superactive",12.7,40.64
"14","Mollisols","Ustolls","Argiustolls","HARLAN","6","20","inches","Fine-loamy, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy, mixed, superactive, mesic",15.24,50.8
"15","Mollisols","Cryolls","Haplocryolls","HAZTON","6","15","inches","Loamy, mixed, superactive Lithic Haplocryolls","lithic haplocryolls","IEFA","Loamy, mixed, superactive",15.24,38.1
"16","Alfisols","Cryalfs","Glossocryalfs","HUB","4","9","inches","Fine-loamy, mixed, superactive Ustollic Glossocryalfs","ustollic glossocryalfs","JBBJ","Fine-loamy, mixed, superactive",10.16,22.86
"17","Mollisols","Xerolls","Argixerolls","KEERINS","5","12","inches","Loamy-skeletal, mixed, superactive, frigid, shallow Calcic Argixerolls","calcic argixerolls","IFET","Loamy-skeletal, mixed, superactive, frigid, shallow",12.7,30.48
"18","Alfisols","Xeralfs","Haploxeralfs","KONOCTI","3","8","inches","Loamy-skeletal, mixed, semiactive, thermic Ultic Haploxeralfs","ultic haploxeralfs","JDGR","Loamy-skeletal, mixed, semiactive, thermic",7.62,20.32
"19","Mollisols","Aquolls","Endoaquolls","KRATKA","6","18","inches","Sandy over loamy, mixed, superactive, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Sandy over loamy, mixed, superactive, frigid",15.24,45.72
"20","Mollisols","Ustolls","Argiustolls","LAMBMAN","5","14","inches","Loamy, mixed, superactive, mesic, shallow Aridic Argiustolls","aridic argiustolls","IGER","Loamy, mixed, superactive, mesic, shallow",12.7,35.56
"21","Mollisols","Ustolls","Haplustolls","LAPORTE","5","15","inches","Loamy, carbonatic, mesic Lithic Haplustolls","lithic haplustolls","IGGD","Loamy, carbonatic, mesic",12.7,38.1
"22","Aridisols","Argids","Calciargids","LARIM","2","4","inches","Loamy-skeletal, mixed, superactive, mesic Ustic Calciargids","ustic calciargids","GEEP","Loamy-skeletal, mixed, superactive, mesic",5.08,10.16
"23","Mollisols","Ustolls","Haplustolls","LEBSACK","0","6","inches","Fine, smectitic, mesic Pachic Haplustolls","pachic haplustolls","IGGU","Fine, smectitic, mesic",0,15.24
"24","Entisols","Orthents","Ustorthents","LONESOME","3","6","inches","Sandy over loamy, mixed, superactive, calcareous, frigid Aridic Ustorthents","aridic ustorthents","LEEM","Sandy over loamy, mixed, superactive, calcareous, frigid",7.62,15.24
"25","Mollisols","Udolls","Argiudolls","MALARDI","17","45","centimeters","Coarse-loamy, mixed, superactive, mesic Typic Argiudolls","typic argiudolls","IHDU","Coarse-loamy, mixed, superactive, mesic",17,45
"26","Mollisols","Ustolls","Argiustolls","MARCELINAS","6","12","inches","Fine, mixed, active, hyperthermic Vertic Argiustolls","vertic argiustolls","IGEI","Fine, mixed, active, hyperthermic",15.24,30.48
"27","Mollisols","Xerolls","Haploxerolls","NAYRIB","6","10","inches","Loamy-skeletal, mixed, superactive, frigid Lithic Haploxerolls","lithic haploxerolls","IFFC","Loamy-skeletal, mixed, superactive, frigid",15.24,25.4
"28","Mollisols","Xerolls","Haploxerolls","NEWDALE","6","15","inches","Coarse-silty, mixed, superactive, frigid Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Coarse-silty, mixed, superactive, frigid",15.24,38.1
"29","Mollisols","Ustolls","Haplustolls","NUCLA","0","25","centimeters","Fine-loamy, mixed, superactive, mesic Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Fine-loamy, mixed, superactive, mesic",0,25
"30","Mollisols","Ustolls","Argiustolls","OWLROCK","4","15","inches","Loamy-skeletal, mixed, superactive, frigid Lithic Argiustolls","lithic argiustolls","IGEC","Loamy-skeletal, mixed, superactive, frigid",10.16,38.1
"31","Mollisols","Ustolls","Haplustolls","PAUNSAUGUNT","4","13","inches","Loamy-skeletal, mixed, superactive, frigid Lithic Haplustolls","lithic haplustolls","IGGD","Loamy-skeletal, mixed, superactive, frigid",10.16,33.02
"32","Mollisols","Xerolls","Palexerolls","POMADE","5","10","inches","Loamy, mixed, superactive, frigid, shallow Petrocalcic Palexerolls","petrocalcic palexerolls","IFCH","Loamy, mixed, superactive, frigid, shallow",12.7,25.4
"33","Mollisols","Ustolls","Calciustolls","QUEENY","0","23","cm","Loamy, mixed, superactive, thermic, shallow Petrocalcic Calciustolls","petrocalcic calciustolls","IGCG","Loamy, mixed, superactive, thermic, shallow",0,23
"34","Mollisols","Ustolls","Argiustolls","RATON","6","20","inches","Clayey-skeletal, smectitic, frigid Lithic Argiustolls","lithic argiustolls","IGEC","Clayey-skeletal, smectitic, frigid",15.24,50.8
"35","Mollisols","Ustolls","Haplustolls","RENICK","2","4","inches","Clayey, smectitic, thermic Ruptic-Lithic Haplustolls","ruptic-lithic haplustolls","IGGB","Clayey, smectitic, thermic",5.08,10.16
"36","Mollisols","Xerolls","Durixerolls","REPMIS","5","10","inches","Fine, smectitic, frigid Typic Durixerolls","typic durixerolls","IFAP","Fine, smectitic, frigid",12.7,25.4
"37","Mollisols","Xerolls","Argixerolls","SHINN","4","10","inches","Loamy-skeletal, mixed, superactive, mesic Lithic Ultic Argixerolls","lithic ultic argixerolls","IFEB","Loamy-skeletal, mixed, superactive, mesic",10.16,25.4
"38","Mollisols","Ustolls","Argiustolls","SHIRTTAIL","6","10","inches","Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive, frigid Typic Argiustolls","typic argiustolls","IGEU","Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive, frigid",15.24,25.4
"39","Mollisols","Ustolls","Haplustolls","SHRINE","0","7","inches","Fine-loamy, mixed, superactive, frigid Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Fine-loamy, mixed, superactive, frigid",0,17.78
"40","Mollisols","Cryolls","Calcicryolls","SOHOLT","10","30","centimeters","Loamy-skeletal, mixed, superactive Lithic Calcicryolls","lithic calcicryolls","IEEA","Loamy-skeletal, mixed, superactive",10,30
