"","mukey","muname","hydgrpdcd","cokey","compname","compkind","comppct_r","majcompflag","hydgrp"
"1",464979,"Dystric Lithic Xerochrepts-Rock outcrop-Josephine famil y moderately deep complex, 35 to 110 percent slopes",NA,16614135,"Fiddletown family","Family",10,"No ","X"
"2",464979,"Dystric Lithic Xerochrepts-Rock outcrop-Josephine famil y moderately deep complex, 35 to 110 percent slopes",NA,16614134,"Josephine family","Family",10,"No ","X"
"3",464979,"Dystric Lithic Xerochrepts-Rock outcrop-Josephine famil y moderately deep complex, 35 to 110 percent slopes",NA,16614139,"Josephine family","Family",20,"Yes","C"
"4",464979,"Dystric Lithic Xerochrepts-Rock outcrop-Josephine famil y moderately deep complex, 35 to 110 percent slopes",NA,16614136,"Typic Xerumbrepts","Taxon above family",10,"No ","X"
"5",464979,"Dystric Lithic Xerochrepts-Rock outcrop-Josephine famil y moderately deep complex, 35 to 110 percent slopes",NA,16614137,"Dystric Lithic Xerochrepts","Taxon above family",30,"Yes","D"
"6",464979,"Dystric Lithic Xerochrepts-Rock outcrop-Josephine famil y moderately deep complex, 35 to 110 percent slopes",NA,16614138,"Rock outcrop","Miscellaneous area",20,"Yes","X"
"7",465000,"Gerle family moderately deep-Rock outcrop complex, 10 t o 35 percent slopes",NA,16614244,"Gerle family","Family",5,"No ","X"
"8",465000,"Gerle family moderately deep-Rock outcrop complex, 10 t o 35 percent slopes",NA,16614241,"Lithic Xerumbrepts","Taxon above family",10,"No ","X"
"9",465000,"Gerle family moderately deep-Rock outcrop complex, 10 t o 35 percent slopes",NA,16614243,"Rock outcrop","Miscellaneous area",40,"Yes","X"
"10",465000,"Gerle family moderately deep-Rock outcrop complex, 10 t o 35 percent slopes",NA,16614245,"Gerle family","Family",5,"No ","X"
"11",465000,"Gerle family moderately deep-Rock outcrop complex, 10 t o 35 percent slopes",NA,16614242,"Gerle family","Family",40,"Yes","B"
"12",465001,"Gerle family, moderately deep-Rock outcrop complex, 35 to 60 percent slopes",NA,16614249,"Gerle family","Family",5,"No ","X"
"13",465001,"Gerle family, moderately deep-Rock outcrop complex, 35 to 60 percent slopes",NA,16614250,"Gerle family","Family",5,"No ","X"
"14",465001,"Gerle family, moderately deep-Rock outcrop complex, 35 to 60 percent slopes",NA,16614248,"Lithic Xerumbrepts","Taxon above family",10,"No ","X"
"15",465001,"Gerle family, moderately deep-Rock outcrop complex, 35 to 60 percent slopes",NA,16614247,"Rock outcrop","Miscellaneous area",40,"Yes","X"
"16",465001,"Gerle family, moderately deep-Rock outcrop complex, 35 to 60 percent slopes",NA,16614246,"Gerle family","Family",40,"Yes","B"
"17",465038,"Lithic cryuopsamments-Entic Cryumbrepts-Rock outcrop co mplex, 20 to 60 percent slopes",NA,16614424,"Entic Cryumbrepts","Taxon above family",25,"Yes","A"
"18",465038,"Lithic cryuopsamments-Entic Cryumbrepts-Rock outcrop co mplex, 20 to 60 percent slopes",NA,16614425,"Rock outcrop","Miscellaneous area",25,"Yes","X"
"19",465038,"Lithic cryuopsamments-Entic Cryumbrepts-Rock outcrop co mplex, 20 to 60 percent slopes",NA,16614422,"Lithic Cryumbrepts","Taxon above family",10,"No ","X"
"20",465038,"Lithic cryuopsamments-Entic Cryumbrepts-Rock outcrop co mplex, 20 to 60 percent slopes",NA,16614423,"Andic Cryumbrepts","Taxon above family",10,"No ","X"
"21",465038,"Lithic cryuopsamments-Entic Cryumbrepts-Rock outcrop co mplex, 20 to 60 percent slopes",NA,16614426,"Lithic Cryopsamments","Taxon above family",30,"Yes","D"
"22",465043,"Lithic Xeropsamments-Rock outcrop complex, 5 to 70 perc ent slopes",NA,16614447,"Gerle family","Family",10,"No ","X"
"23",465043,"Lithic Xeropsamments-Rock outcrop complex, 5 to 70 perc ent slopes",NA,16614448,"Fiddletown family","Family",10,"No ","X"
"24",465043,"Lithic Xeropsamments-Rock outcrop complex, 5 to 70 perc ent slopes",NA,16614449,"Unnamed","Taxon above family",10,"No ","X"
"25",465043,"Lithic Xeropsamments-Rock outcrop complex, 5 to 70 perc ent slopes",NA,16614450,"Rock outcrop","Miscellaneous area",30,"Yes","X"
"26",465043,"Lithic Xeropsamments-Rock outcrop complex, 5 to 70 perc ent slopes",NA,16614451,"Lithic Xeropsamments","Taxon above family",40,"Yes","D"
"27",465057,"Rock outcrop",NA,16614512,"Rock outcrop","Miscellaneous area",85,"Yes","X"
"28",465057,"Rock outcrop",NA,16614513,"Unnamed","Taxon above family",5,"No ","X"
"29",465057,"Rock outcrop",NA,16614514,"Unnamed","Taxon above family",10,"No ","X"
"30",465058,"Rock outcrop-Entic Cryumbrepts complex, 10 to 50 percen t slopes",NA,16614516,"Rock outcrop","Miscellaneous area",60,"Yes","X"
"31",465058,"Rock outcrop-Entic Cryumbrepts complex, 10 to 50 percen t slopes",NA,16614517,"Lithic Cryopsamments","Taxon above family",10,"No ","X"
"32",465058,"Rock outcrop-Entic Cryumbrepts complex, 10 to 50 percen t slopes",NA,16614515,"Entic Cryumbrepts","Taxon above family",30,"Yes","A"
"33",465059,"Rock outcrop-Fiddletown family, moderately deep complex , 35 to 70 percent slopes",NA,16614520,"Fiddletown family","Family",30,"Yes","B"
"34",465059,"Rock outcrop-Fiddletown family, moderately deep complex , 35 to 70 percent slopes",NA,16614521,"Rock outcrop","Miscellaneous area",50,"Yes","X"
"35",465059,"Rock outcrop-Fiddletown family, moderately deep complex , 35 to 70 percent slopes",NA,16614518,"Holland family","Family",5,"No ","X"
"36",465059,"Rock outcrop-Fiddletown family, moderately deep complex , 35 to 70 percent slopes",NA,16614522,"Unnamed","Taxon above family",5,"No ","X"
"37",465059,"Rock outcrop-Fiddletown family, moderately deep complex , 35 to 70 percent slopes",NA,16614519,"Lithic Xerumbrepts","Taxon above family",10,"No ","X"
"38",465060,"Rock outcrop-Gerle family, bouldery complex, 5 to 35 pe rcent slopes",NA,16614527,"Gerle family","Family",5,"No ","X"
"39",465060,"Rock outcrop-Gerle family, bouldery complex, 5 to 35 pe rcent slopes",NA,16614525,"Rock outcrop","Miscellaneous area",60,"Yes","X"
"40",465060,"Rock outcrop-Gerle family, bouldery complex, 5 to 35 pe rcent slopes",NA,16614524,"Gerle family","Family",15,"Yes","A"
"41",465060,"Rock outcrop-Gerle family, bouldery complex, 5 to 35 pe rcent slopes",NA,16614526,"Gerle family","Family",5,"No ","X"
"42",465060,"Rock outcrop-Gerle family, bouldery complex, 5 to 35 pe rcent slopes",NA,16614523,"Lithic Xeropsamments","Taxon above family",10,"No ","X"
"43",465061,"Rock outcrop-Gerle family, bouldery complex, 35 to 50 p ercent sl slopes",NA,16614531,"Gerle family","Family",10,"No ","X"
"44",465061,"Rock outcrop-Gerle family, bouldery complex, 35 to 50 p ercent sl slopes",NA,16614528,"Rock outcrop","Miscellaneous area",60,"Yes","X"
"45",465061,"Rock outcrop-Gerle family, bouldery complex, 35 to 50 p ercent sl slopes",NA,16614529,"Gerle family","Family",15,"Yes","A"
"46",465061,"Rock outcrop-Gerle family, bouldery complex, 35 to 50 p ercent sl slopes",NA,16614530,"Gerle family","Family",5,"No ","X"
"47",465061,"Rock outcrop-Gerle family, bouldery complex, 35 to 50 p ercent sl slopes",NA,16614532,"Lithic Xeropsamments","Taxon above family",10,"No ","X"
"48",465075,"Water",NA,16614610,"Water","Miscellaneous area",100,"Yes","X"
"49",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632474,"Rubble land","Miscellaneous area",30,"Yes","X"
"50",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632472,"Typic Cryorthents","Family",25,"Yes","B"
"51",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632471,"Humic Dystrocryepts","Family",3,"No ","X"
"52",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632473,"Rock outcrop","Miscellaneous area",20,"Yes","X"
"53",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632469,"Histosols","Taxon above family",1,"No ","X"
"54",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632470,"Xeric Dystrocryepts","Family",20,"Yes","A"
"55",466335,"Rubble land-Typic Cryorthents-Rock outcrop-Xeric Dystrocryepts complex, 30 to 80 percent slopes, mountainflanks, metamorphic, mafic, cryic",NA,16632468,"Water","Miscellaneous area",1,"No ","X"
"56",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632502,"Cumulic Cryaquolls","Family",5,"No ","X"
"57",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632503,"Aquandic Cryaquepts","Family",5,"No ","X"
"58",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632490,"Water","Miscellaneous area",1,"No ","X"
"59",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632501,"Humic Cryaquepts","Family",4,"No ","X"
"60",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632491,"Histosols","Taxon above family",5,"No ","X"
"61",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632500,"Vitrandic Cryofluvents","Family",10,"No ","X"
"62",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632493,"Oxyaquic Dystrocryepts","Family",15,"Yes","A/D"
"63",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632504,"Typic Cryorthents","Family",2,"No ","X"
"64",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632495,"Oxyaquic Dystrocryepts","Family",4,"No ","X"
"65",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632492,"Xeric Dystrocryepts","Family",1,"No ","X"
"66",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632497,"Xeric Dystrocryepts","Family",15,"Yes","A"
"67",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632494,"Marmotland","Series",25,"Yes","B"
"68",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632499,"Typic Cryopsamments","Family",2,"No ","X"
"69",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632496,"Glacierpoint","Series",2,"No ","X"
"70",466339,"Marmotland-Oxyaquic Dystrocryepts-Xeric Dystrocryepts complex, 0 to 15 percent slopes, mountain valley floors, cryic",NA,16632498,"Typic Cryaquands","Family",4,"No ","X"
"71",466340,"Typic Cryorthents-Rock outcrop-Rubble land complex, 30 to 65 percent slopes, metamorphic, glacially scoured mountain slopes, cryic",NA,16632505,"Rock outcrop","Miscellaneous area",20,"Yes","X"
