"","variable","all.profiles","p.q5","p.q25","p.q50","p.q75","p.q95","top","bottom","contributing_fraction"
"1","mt_montmorillonite_x_ray",1,2,2.5,3,3,5,0,1,0.574074074074074
"2","mt_montmorillonite_x_ray",1,2,2.5,3,3,5,1,2,0.574074074074074
"3","mt_montmorillonite_x_ray",1,2,2.5,3,3,5,2,3,0.574074074074074
"4","mt_montmorillonite_x_ray",1,2,2.75,3,3,5,3,4,0.592592592592593
"5","mt_montmorillonite_x_ray",1,2,3,3,3,5,4,5,0.592592592592593
"6","mt_montmorillonite_x_ray",1,2,3,3,3,5,5,6,0.592592592592593
"7","mt_montmorillonite_x_ray",1,2,3,3,3,5,6,7,0.592592592592593
"8","mt_montmorillonite_x_ray",1,2,3,3,3,5,7,8,0.592592592592593
"9","mt_montmorillonite_x_ray",1,2,3,3,3,5,8,9,0.592592592592593
"10","mt_montmorillonite_x_ray",1,2,3,3,3.25,5,9,10,0.592592592592593
"11","mt_montmorillonite_x_ray",1,2,3,3,3.75,5,10,11,0.555555555555556
"12","mt_montmorillonite_x_ray",1,2,3,3,3.75,5,11,12,0.555555555555556
"13","mt_montmorillonite_x_ray",1,2,3,3,3.75,5,12,13,0.555555555555556
"14","mt_montmorillonite_x_ray",1,2,3,3,4,5,13,14,0.518518518518518
"15","mt_montmorillonite_x_ray",1,2,3,3,4,5,14,15,0.5
"16","mt_montmorillonite_x_ray",1,2,3,3,4,5,15,16,0.5
"17","mt_montmorillonite_x_ray",1,2,3,3,4,5,16,17,0.481481481481481
"18","mt_montmorillonite_x_ray",1,2,3,3,4,5,17,18,0.481481481481481
"19","mt_montmorillonite_x_ray",1,2,3,3,4,5,18,19,0.444444444444444
"20","mt_montmorillonite_x_ray",1,2,3,3,4,5,19,20,0.444444444444444
"21","mt_montmorillonite_x_ray",1,2,3,3,4,5,20,21,0.407407407407407
"22","mt_montmorillonite_x_ray",1,2,3,3,4,5,21,22,0.407407407407407
"23","mt_montmorillonite_x_ray",1,2,3,3,4,5,22,23,0.407407407407407
"24","mt_montmorillonite_x_ray",1,2.95,3,3.5,4,5,23,24,0.37037037037037
"25","mt_montmorillonite_x_ray",1,2.95,3,3.5,4,5,24,25,0.37037037037037
"26","mt_montmorillonite_x_ray",1,2.85,3,3.5,4,5,25,26,0.333333333333333
"27","mt_montmorillonite_x_ray",1,2.8,3,4,4,5,26,27,0.314814814814815
"28","mt_montmorillonite_x_ray",1,2,3,3.5,4,5,27,28,0.333333333333333
"29","mt_montmorillonite_x_ray",1,2,3,3,4,5,28,29,0.351851851851852
"30","mt_montmorillonite_x_ray",1,2,3,3,4,5,29,30,0.351851851851852
"31","mt_montmorillonite_x_ray",1,2,3,3,4,5,30,31,0.333333333333333
"32","mt_montmorillonite_x_ray",1,2,3,3,4,5,31,32,0.333333333333333
"33","mt_montmorillonite_x_ray",1,2,3,3,4,5,32,33,0.351851851851852
"34","mt_montmorillonite_x_ray",1,2.05,3,3.5,4,4.95,33,34,0.407407407407407
"35","mt_montmorillonite_x_ray",1,2.15,3,3,4,4.85,34,35,0.444444444444444
"36","mt_montmorillonite_x_ray",1,2.15,3,3,4,4.85,35,36,0.444444444444444
"37","mt_montmorillonite_x_ray",1,2.35,3,3,4,5,36,37,0.518518518518518
"38","mt_montmorillonite_x_ray",1,2.35,3,3,4,5,37,38,0.518518518518518
"39","mt_montmorillonite_x_ray",1,2.4,3,3,4,5,38,39,0.537037037037037
"40","mt_montmorillonite_x_ray",1,2.4,3,3,4,5,39,40,0.537037037037037
"41","mt_montmorillonite_x_ray",1,2.4,3,3,4,5,40,41,0.537037037037037
"42","mt_montmorillonite_x_ray",1,2.45,3,3,4,5,41,42,0.555555555555556
"43","mt_montmorillonite_x_ray",1,3,3,3,4,5,42,43,0.537037037037037
"44","mt_montmorillonite_x_ray",1,3,3,3,4,5,43,44,0.537037037037037
"45","mt_montmorillonite_x_ray",1,3,3,3,4,5,44,45,0.518518518518518
"46","mt_montmorillonite_x_ray",1,3,3,3,4,5,45,46,0.537037037037037
"47","mt_montmorillonite_x_ray",1,2,3,3,4,5,46,47,0.555555555555556
"48","mt_montmorillonite_x_ray",1,2,3,3,4,5,47,48,0.555555555555556
"49","mt_montmorillonite_x_ray",1,2,3,3,4,5,48,49,0.537037037037037
"50","mt_montmorillonite_x_ray",1,2,3,3,4,5,49,50,0.537037037037037
"51","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,0,1,0.185185185185185
"52","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,1,2,0.185185185185185
"53","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,2,3,0.185185185185185
"54","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,3,4,0.185185185185185
"55","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,4,5,0.185185185185185
"56","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,5,6,0.185185185185185
"57","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,6,7,0.185185185185185
"58","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,7,8,0.185185185185185
"59","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,8,9,0.185185185185185
"60","vr_vermiculite_x_ray",1,2,2,2.5,3,3.55,9,10,0.185185185185185
"61","vr_vermiculite_x_ray",1,2,2,3,3,3.6,10,11,0.166666666666667
"62","vr_vermiculite_x_ray",1,2,2,3,3,3.6,11,12,0.166666666666667
"63","vr_vermiculite_x_ray",1,2,2,3,3,3.6,12,13,0.166666666666667
"64","vr_vermiculite_x_ray",1,2,2,2.5,3,3.65,13,14,0.148148148148148
"65","vr_vermiculite_x_ray",1,2,2,2.5,3,3.65,14,15,0.148148148148148
"66","vr_vermiculite_x_ray",1,2,2,2.5,3,3.65,15,16,0.148148148148148
"67","vr_vermiculite_x_ray",1,2,2,2.5,3,3.65,16,17,0.148148148148148
"68","vr_vermiculite_x_ray",1,2,2,2.5,3,3.65,17,18,0.148148148148148
"69","vr_vermiculite_x_ray",1,2,2,2,3,3.6,18,19,0.166666666666667
"70","vr_vermiculite_x_ray",1,2,2,2,3,3.6,19,20,0.166666666666667
"71","vr_vermiculite_x_ray",1,2,2,2,3,3.6,20,21,0.166666666666667
"72","vr_vermiculite_x_ray",1,2,2,2,3,3.6,21,22,0.166666666666667
"73","vr_vermiculite_x_ray",1,2,2,2,3,3.6,22,23,0.166666666666667
"74","vr_vermiculite_x_ray",1,2,2,2,2,2.65,23,24,0.148148148148148
"75","vr_vermiculite_x_ray",1,2,2,2,2,2.65,24,25,0.148148148148148
"76","vr_vermiculite_x_ray",1,2,2,2,2,2.65,25,26,0.148148148148148
"77","vr_vermiculite_x_ray",1,2,2,2,2,2.7,26,27,0.12962962962963
"78","vr_vermiculite_x_ray",1,2,2,2,2,2.7,27,28,0.12962962962963
"79","vr_vermiculite_x_ray",1,2,2,2,2,2.7,28,29,0.12962962962963
"80","vr_vermiculite_x_ray",1,2,2,2,2,2.7,29,30,0.12962962962963
"81","vr_vermiculite_x_ray",1,2,2,2,2,2.7,30,31,0.12962962962963
"82","vr_vermiculite_x_ray",1,2,2,2,2,2.7,31,32,0.12962962962963
"83","vr_vermiculite_x_ray",1,2,2,2,2,2.65,32,33,0.148148148148148
"84","vr_vermiculite_x_ray",1,2,2,2,2.25,3,33,34,0.148148148148148
"85","vr_vermiculite_x_ray",1,2,2,2,2,3,34,35,0.166666666666667
"86","vr_vermiculite_x_ray",1,2,2,2,2,3,35,36,0.166666666666667
"87","vr_vermiculite_x_ray",1,2,2,2,2,3,36,37,0.185185185185185
"88","vr_vermiculite_x_ray",1,2,2,2,2,3,37,38,0.185185185185185
"89","vr_vermiculite_x_ray",1,2,2,2,2,3,38,39,0.185185185185185
"90","vr_vermiculite_x_ray",1,2,2,2,2,3,39,40,0.185185185185185
"91","vr_vermiculite_x_ray",1,2,2,2,2.75,3,40,41,0.185185185185185
"92","vr_vermiculite_x_ray",1,1.55,2,2,2.25,3,41,42,0.222222222222222
"93","vr_vermiculite_x_ray",1,1.55,2,2,2.25,3,42,43,0.222222222222222
"94","vr_vermiculite_x_ray",1,1.6,2,2,2,3,43,44,0.240740740740741
"95","vr_vermiculite_x_ray",1,1.6,2,2,2,3,44,45,0.240740740740741
"96","vr_vermiculite_x_ray",1,1.6,2,2,2,3,45,46,0.240740740740741
"97","vr_vermiculite_x_ray",1,1,2,2,2.75,3,46,47,0.259259259259259
"98","vr_vermiculite_x_ray",1,1,2,2,2.75,3,47,48,0.259259259259259
"99","vr_vermiculite_x_ray",1,1,2,2,3,3,48,49,0.240740740740741
"100","vr_vermiculite_x_ray",1,1,2,2,3,3,49,50,0.240740740740741
"101","kk_kaolinite_x_ray",1,1,2,2,2,3,0,1,0.592592592592593
"102","kk_kaolinite_x_ray",1,1,2,2,2,3,1,2,0.592592592592593
"103","kk_kaolinite_x_ray",1,1,2,2,2,3,2,3,0.592592592592593
"104","kk_kaolinite_x_ray",1,1,2,2,2,3,3,4,0.611111111111111
"105","kk_kaolinite_x_ray",1,1,2,2,2,3,4,5,0.611111111111111
"106","kk_kaolinite_x_ray",1,1,2,2,2,3,5,6,0.611111111111111
"107","kk_kaolinite_x_ray",1,1,2,2,2,3,6,7,0.611111111111111
"108","kk_kaolinite_x_ray",1,1,2,2,2,3,7,8,0.611111111111111
"109","kk_kaolinite_x_ray",1,1,2,2,2,3,8,9,0.611111111111111
"110","kk_kaolinite_x_ray",1,1,2,2,2,3,9,10,0.611111111111111
"111","kk_kaolinite_x_ray",1,1,2,2,2,3,10,11,0.574074074074074
"112","kk_kaolinite_x_ray",1,1,2,2,2,3,11,12,0.574074074074074
"113","kk_kaolinite_x_ray",1,1,2,2,2,3,12,13,0.574074074074074
"114","kk_kaolinite_x_ray",1,1,2,2,2,3,13,14,0.537037037037037
"115","kk_kaolinite_x_ray",1,1,2,2,2,3,14,15,0.518518518518518
"116","kk_kaolinite_x_ray",1,1,2,2,2,3,15,16,0.518518518518518
"117","kk_kaolinite_x_ray",1,1,2,2,2,3,16,17,0.5
"118","kk_kaolinite_x_ray",1,1,2,2,2,3,17,18,0.5
"119","kk_kaolinite_x_ray",1,1,2,2,2,3,18,19,0.462962962962963
"120","kk_kaolinite_x_ray",1,1,2,2,2,3,19,20,0.462962962962963
"121","kk_kaolinite_x_ray",1,1,2,2,2,3,20,21,0.425925925925926
"122","kk_kaolinite_x_ray",1,1,2,2,2,3,21,22,0.425925925925926
"123","kk_kaolinite_x_ray",1,1,2,2,2,3,22,23,0.425925925925926
"124","kk_kaolinite_x_ray",1,1,2,2,2,3,23,24,0.388888888888889
"125","kk_kaolinite_x_ray",1,1,2,2,2,3,24,25,0.388888888888889
"126","kk_kaolinite_x_ray",1,1.9,2,2,2,3,25,26,0.351851851851852
