"","variable","all.profiles","p.q5","p.q25","p.q50","p.q75","p.q95","top","bottom","contributing_fraction"
"1","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,0,1,0.566666666666667
"2","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,1,2,0.566666666666667
"3","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,2,3,0.566666666666667
"4","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,3,4,0.566666666666667
"5","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,4,5,0.566666666666667
"6","mt_montmorillonite_x_ray",1,2,3,3,3,3.15,5,6,0.6
"7","mt_montmorillonite_x_ray",1,2,3,3,3,3.15,6,7,0.6
"8","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,7,8,0.566666666666667
"9","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,8,9,0.566666666666667
"10","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,9,10,0.566666666666667
"11","mt_montmorillonite_x_ray",1,2,3,3,3,3.2,10,11,0.566666666666667
"12","mt_montmorillonite_x_ray",1,2,2,3,3,3.1,11,12,0.633333333333333
"13","mt_montmorillonite_x_ray",1,2,2,3,3,3.05,12,13,0.666666666666667
"14","mt_montmorillonite_x_ray",1,2,2,3,3,3.1,13,14,0.633333333333333
"15","mt_montmorillonite_x_ray",1,2,2,3,3,3.25,14,15,0.533333333333333
"16","mt_montmorillonite_x_ray",1,2,2.5,3,3,3.3,15,16,0.5
"17","mt_montmorillonite_x_ray",1,2,2.5,3,3,3.3,16,17,0.5
"18","mt_montmorillonite_x_ray",1,2,2,3,3,3.25,17,18,0.533333333333333
"19","mt_montmorillonite_x_ray",1,2,2,3,3,3.25,18,19,0.533333333333333
"20","mt_montmorillonite_x_ray",1,2,2,3,3,3.25,19,20,0.533333333333333
"21","mt_montmorillonite_x_ray",1,2,2,3,3,3.45,20,21,0.4
"22","mt_montmorillonite_x_ray",1,2,2,3,3,3.4,21,22,0.433333333333333
"23","mt_montmorillonite_x_ray",1,2,2,3,3,3.5,22,23,0.366666666666667
"24","mt_montmorillonite_x_ray",1,2,2,2.5,3,3.75,23,24,0.2
"25","mt_montmorillonite_x_ray",1,2,2,2.5,3,3.75,24,25,0.2
"26","mt_montmorillonite_x_ray",1,2,2,3,3,3,25,26,0.233333333333333
"27","mt_montmorillonite_x_ray",1,2,2,3,3,3,26,27,0.233333333333333
"28","mt_montmorillonite_x_ray",1,2,2.25,3,3,3,27,28,0.2
"29","mt_montmorillonite_x_ray",1,1.35,2,3,3,3,28,29,0.266666666666667
"30","mt_montmorillonite_x_ray",1,1.4,2,3,3,3,29,30,0.3
"31","mt_montmorillonite_x_ray",1,1.7,3,3,3,4.3,30,31,0.266666666666667
"32","mt_montmorillonite_x_ray",1,1.6,3,3,3,4.4,31,32,0.233333333333333
"33","mt_montmorillonite_x_ray",1,1.6,3,3,3,4.4,32,33,0.233333333333333
"34","mt_montmorillonite_x_ray",1,1.35,2.75,3,3,4.3,33,34,0.266666666666667
"35","mt_montmorillonite_x_ray",1,1.35,2.75,3,3,4.3,34,35,0.266666666666667
"36","mt_montmorillonite_x_ray",1,1.35,2.75,3,3,4.3,35,36,0.266666666666667
"37","mt_montmorillonite_x_ray",1,1.45,3,3,3,4.1,36,37,0.333333333333333
"38","mt_montmorillonite_x_ray",1,1.45,3,3,3,4.55,37,38,0.333333333333333
"39","mt_montmorillonite_x_ray",1,1.5,3,3,3,4.5,38,39,0.366666666666667
"40","mt_montmorillonite_x_ray",1,1.5,3,3,3,4.5,39,40,0.366666666666667
"41","mt_montmorillonite_x_ray",1,2.4,3,3,3,4.6,40,41,0.3
"42","mt_montmorillonite_x_ray",1,2.5,3,3,3.5,4.5,41,42,0.366666666666667
"43","mt_montmorillonite_x_ray",1,2.5,3,3,3.5,4.5,42,43,0.366666666666667
"44","mt_montmorillonite_x_ray",1,2.35,3,3,4,4.65,43,44,0.266666666666667
"45","mt_montmorillonite_x_ray",1,3,3,3,4,4.7,44,45,0.233333333333333
"46","mt_montmorillonite_x_ray",1,3,3,3,4,4.7,45,46,0.233333333333333
"47","mt_montmorillonite_x_ray",1,3,3,3,3.75,4,46,47,0.2
"48","mt_montmorillonite_x_ray",1,3,3,3,3.75,4,47,48,0.2
"49","mt_montmorillonite_x_ray",1,3,3,3,3.5,4,48,49,0.233333333333333
"50","mt_montmorillonite_x_ray",1,3,3,3,3.5,4,49,50,0.233333333333333
"51","vr_vermiculite_x_ray",1,2,2,2,2.5,3,0,1,0.233333333333333
"52","vr_vermiculite_x_ray",1,2,2,2,2.5,3,1,2,0.233333333333333
"53","vr_vermiculite_x_ray",1,2,2,2,2.5,3,2,3,0.233333333333333
"54","vr_vermiculite_x_ray",1,2,2,2,2.5,3,3,4,0.233333333333333
"55","vr_vermiculite_x_ray",1,2,2,2,2.5,3,4,5,0.233333333333333
