"","variable","all.profiles","p.q5","p.q25","p.q50","p.q75","p.q95","top","bottom","contributing_fraction"
"1","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,0,1,0.583333333333333
"2","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,1,2,0.583333333333333
"3","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,2,3,0.583333333333333
"4","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,3,4,0.583333333333333
"5","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,4,5,0.583333333333333
"6","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,5,6,0.583333333333333
"7","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,6,7,0.583333333333333
"8","mt_montmorillonite_x_ray",1,2,2.5,3,3,3,7,8,0.583333333333333
"9","mt_montmorillonite_x_ray",1,2,2.25,3,3,3,8,9,0.5
"10","mt_montmorillonite_x_ray",1,2,2.25,3,3,3,9,10,0.5
"11","mt_montmorillonite_x_ray",1,2,2,3,3,3,10,11,0.416666666666667
"12","mt_montmorillonite_x_ray",1,2,2,2.5,3,3,11,12,0.333333333333333
"13","mt_montmorillonite_x_ray",1,2,2,2.5,3,3,12,13,0.333333333333333
"14","mt_montmorillonite_x_ray",1,2.05,2.25,2.5,2.75,2.95,13,14,0.166666666666667
"15","mt_montmorillonite_x_ray",1,2.05,2.25,2.5,2.75,2.95,14,15,0.166666666666667
"16","mt_montmorillonite_x_ray",1,2,2,2,2,2,15,16,0.0833333333333333
"17","mt_montmorillonite_x_ray",1,2,2,2,2,2,16,17,0.0833333333333333
"18","mt_montmorillonite_x_ray",1,2,2,2,2,2,17,18,0.0833333333333333
"19","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,18,19,0
"20","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,19,20,0
"21","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,20,21,0
"22","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,21,22,0
"23","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,22,23,0
"24","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,23,24,0
"25","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,24,25,0
"26","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,25,26,0
"27","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,26,27,0
"28","mt_montmorillonite_x_ray",1,NA,NA,NA,NA,NA,27,28,0
"29","mt_montmorillonite_x_ray",1,3,3,3,3,3,28,29,0.0833333333333333
"30","mt_montmorillonite_x_ray",1,2.05,2.25,2.5,2.75,2.95,29,30,0.166666666666667
"31","mt_montmorillonite_x_ray",1,2.05,2.25,2.5,2.75,2.95,30,31,0.166666666666667
"32","mt_montmorillonite_x_ray",1,2.1,2.5,3,3,3,31,32,0.25
"33","mt_montmorillonite_x_ray",1,2.1,2.5,3,3,3,32,33,0.25
"34","mt_montmorillonite_x_ray",1,2.15,2.75,3,3,3,33,34,0.333333333333333
"35","mt_montmorillonite_x_ray",1,2.15,2.75,3,3,3,34,35,0.333333333333333
