"","variable","all.profiles","p.q5","p.q25","p.q50","p.q75","p.q95","top","bottom","contributing_fraction"
"1","mt_montmorillonite_x_ray",1,1,2,3,3,3,0,1,0.520408163265306
"2","mt_montmorillonite_x_ray",1,1,2,3,3,3,1,2,0.520408163265306
"3","mt_montmorillonite_x_ray",1,1,2,3,3,3,2,3,0.520408163265306
"4","mt_montmorillonite_x_ray",1,1,2,3,3,3,3,4,0.520408163265306
"5","mt_montmorillonite_x_ray",1,1,2,3,3,3,4,5,0.520408163265306
"6","mt_montmorillonite_x_ray",1,1,2,3,3,3.5,5,6,0.520408163265306
"7","mt_montmorillonite_x_ray",1,1,2,3,3,3.5,6,7,0.520408163265306
"8","mt_montmorillonite_x_ray",1,1,2,3,3,3,7,8,0.5
"9","mt_montmorillonite_x_ray",1,1,2,3,3,3,8,9,0.489795918367347
"10","mt_montmorillonite_x_ray",1,1,2,3,3,3,9,10,0.5
"11","mt_montmorillonite_x_ray",1,1,2,3,3,3.05,10,11,0.408163265306122
"12","mt_montmorillonite_x_ray",1,1,2,3,3,3.15,11,12,0.387755102040816
"13","mt_montmorillonite_x_ray",1,1,2,3,3,3.25,12,13,0.36734693877551
"14","mt_montmorillonite_x_ray",1,1,2,3,3,4,13,14,0.346938775510204
"15","mt_montmorillonite_x_ray",1,1,2,3,3,4,14,15,0.346938775510204
"16","mt_montmorillonite_x_ray",1,1.45,2.25,3,3,4,15,16,0.306122448979592
"17","mt_montmorillonite_x_ray",1,1.45,2.25,3,3,4,16,17,0.306122448979592
"18","mt_montmorillonite_x_ray",1,1.5,2.5,3,3,4,17,18,0.316326530612245
"19","mt_montmorillonite_x_ray",1,1.55,3,3,3,4,18,19,0.326530612244898
"20","mt_montmorillonite_x_ray",1,1.6,3,3,3,4,19,20,0.336734693877551
"21","mt_montmorillonite_x_ray",1,1.8,3,3,3,4,20,21,0.377551020408163
"22","mt_montmorillonite_x_ray",1,1.75,3,3,3,4,21,22,0.36734693877551
"23","mt_montmorillonite_x_ray",1,1.9,3,3,3,4,22,23,0.397959183673469
"24","mt_montmorillonite_x_ray",1,1.95,3,3,3,4,23,24,0.408163265306122
"25","mt_montmorillonite_x_ray",1,1.95,3,3,3,4,24,25,0.408163265306122
"26","mt_montmorillonite_x_ray",1,2,3,3,3,4,25,26,0.520408163265306
"27","mt_montmorillonite_x_ray",1,2,3,3,3,4,26,27,0.540816326530612
"28","mt_montmorillonite_x_ray",1,2,3,3,4,4,27,28,0.540816326530612
"29","mt_montmorillonite_x_ray",1,2,3,3,3,4,28,29,0.530612244897959
"30","mt_montmorillonite_x_ray",1,2,3,3,3,4,29,30,0.530612244897959
"31","mt_montmorillonite_x_ray",1,2,3,3,3,4,30,31,0.530612244897959
"32","mt_montmorillonite_x_ray",1,2,3,3,3,4,31,32,0.530612244897959
"33","mt_montmorillonite_x_ray",1,1.65,3,3,3,4.34999999999999,32,33,0.551020408163265
"34","mt_montmorillonite_x_ray",1,1,3,3,3,4.4,33,34,0.540816326530612
"35","mt_montmorillonite_x_ray",1,1,3,3,3,4.5,34,35,0.520408163265306
"36","mt_montmorillonite_x_ray",1,1,3,3,3,4.5,35,36,0.520408163265306
"37","mt_montmorillonite_x_ray",1,1,3,3,3,5,36,37,0.510204081632653
"38","mt_montmorillonite_x_ray",1,1,3,3,3,5,37,38,0.5
"39","mt_montmorillonite_x_ray",1,1,3,3,3,4.55,38,39,0.510204081632653
"40","mt_montmorillonite_x_ray",1,1,2.5,3,3,4.7,39,40,0.479591836734694
"41","mt_montmorillonite_x_ray",1,1,2,3,3,4.8,40,41,0.459183673469388
"42","mt_montmorillonite_x_ray",1,1.1,2.5,3,3,5,41,42,0.438775510204082
"43","mt_montmorillonite_x_ray",1,1.15,2.75,3,3,5,42,43,0.448979591836735
"44","mt_montmorillonite_x_ray",1,1.15,3,3,3.25,5,43,44,0.448979591836735
"45","mt_montmorillonite_x_ray",1,1.05,3,3,3,5,44,45,0.428571428571429
"46","mt_montmorillonite_x_ray",1,1.05,3,3,3,5,45,46,0.428571428571429
"47","mt_montmorillonite_x_ray",1,1,3,3,4,5,46,47,0.397959183673469
"48","mt_montmorillonite_x_ray",1,1,3,3,4,5,47,48,0.418367346938776
"49","mt_montmorillonite_x_ray",1,1,3,3,3,5,48,49,0.397959183673469
"50","mt_montmorillonite_x_ray",1,1,3,3,3,5,49,50,0.387755102040816
"51","vr_vermiculite_x_ray",1,1,1,1,2,2,0,1,0.0714285714285714
"52","vr_vermiculite_x_ray",1,1,1,1,2,2,1,2,0.0714285714285714
"53","vr_vermiculite_x_ray",1,1,1,1,2,2,2,3,0.0714285714285714
"54","vr_vermiculite_x_ray",1,1,1,1,2,2,3,4,0.0816326530612245
"55","vr_vermiculite_x_ray",1,1,1,1,2,2,4,5,0.0816326530612245
"56","vr_vermiculite_x_ray",1,1,1,1,2,2,5,6,0.0816326530612245
"57","vr_vermiculite_x_ray",1,1,1,1,2,2,6,7,0.0816326530612245
"58","vr_vermiculite_x_ray",1,1,1,1.5,2,2,7,8,0.0816326530612245
"59","vr_vermiculite_x_ray",1,1,1,1.5,2,2,8,9,0.0816326530612245
"60","vr_vermiculite_x_ray",1,1,1,1.5,2,2,9,10,0.0816326530612245
"61","vr_vermiculite_x_ray",1,1,1,1.5,2,2,10,11,0.0612244897959184
"62","vr_vermiculite_x_ray",1,1,1,1.5,2,2,11,12,0.0612244897959184
"63","vr_vermiculite_x_ray",1,1,1,1.5,2,2,12,13,0.0612244897959184
"64","vr_vermiculite_x_ray",1,1,1,2,2,2,13,14,0.0510204081632653
"65","vr_vermiculite_x_ray",1,1,1,2,2,2,14,15,0.0510204081632653
"66","vr_vermiculite_x_ray",1,1,1,1,2,2,15,16,0.0510204081632653
"67","vr_vermiculite_x_ray",1,1,1,1,2,2,16,17,0.0510204081632653
"68","vr_vermiculite_x_ray",1,1,1,1,2,2,17,18,0.0510204081632653
"69","vr_vermiculite_x_ray",1,1,1,1.5,2,2,18,19,0.0408163265306122
"70","vr_vermiculite_x_ray",1,1,1,2,2,2,19,20,0.0510204081632653
"71","vr_vermiculite_x_ray",1,1,1,2,2,2,20,21,0.0510204081632653
"72","vr_vermiculite_x_ray",1,1,1,2,2,2,21,22,0.0510204081632653
"73","vr_vermiculite_x_ray",1,1,1.25,2,2,2,22,23,0.0612244897959184
"74","vr_vermiculite_x_ray",1,1,1.25,2,2,2,23,24,0.0612244897959184
"75","vr_vermiculite_x_ray",1,1,1.25,2,2,2,24,25,0.0612244897959184
"76","vr_vermiculite_x_ray",1,1,1,2,2,2,25,26,0.0816326530612245
"77","vr_vermiculite_x_ray",1,1,1,2,2,2,26,27,0.0816326530612245
"78","vr_vermiculite_x_ray",1,1,1,2,2,2,27,28,0.0918367346938776
"79","vr_vermiculite_x_ray",1,1,1,1.5,2,2,28,29,0.102040816326531
"80","vr_vermiculite_x_ray",1,1,1,1.5,2,2,29,30,0.102040816326531
"81","vr_vermiculite_x_ray",1,1,1,1.5,2,2,30,31,0.102040816326531
"82","vr_vermiculite_x_ray",1,1,1,1,2,2,31,32,0.112244897959184
"83","vr_vermiculite_x_ray",1,1,1,1,2,2,32,33,0.112244897959184
"84","vr_vermiculite_x_ray",1,1,1,1,1.75,2,33,34,0.102040816326531
"85","vr_vermiculite_x_ray",1,1,1,1,1.75,2,34,35,0.102040816326531
"86","vr_vermiculite_x_ray",1,1,1,1,1.75,2,35,36,0.102040816326531
"87","vr_vermiculite_x_ray",1,1,1,1,2,2,36,37,0.0918367346938776
"88","vr_vermiculite_x_ray",1,1,1,1,1.25,2,37,38,0.0816326530612245
"89","vr_vermiculite_x_ray",1,1,1,1,2,2.6,38,39,0.0918367346938776
"90","vr_vermiculite_x_ray",1,1,1,1,1.25,2.65,39,40,0.0816326530612245
"91","vr_vermiculite_x_ray",1,1,1,1,1.25,2.65,40,41,0.0816326530612245
"92","vr_vermiculite_x_ray",1,1,1,1,1.5,2.7,41,42,0.0714285714285714
"93","vr_vermiculite_x_ray",1,1,1,1,1.5,2.7,42,43,0.0714285714285714
"94","vr_vermiculite_x_ray",1,1,1,1,1.5,2.7,43,44,0.0714285714285714
"95","vr_vermiculite_x_ray",1,1,1,1,1.5,2.7,44,45,0.0714285714285714
"96","vr_vermiculite_x_ray",1,1,1,1,2,2.8,45,46,0.0510204081632653
"97","vr_vermiculite_x_ray",1,1,1,1,2,2.8,46,47,0.0510204081632653
"98","vr_vermiculite_x_ray",1,1,1,1.5,2,2.75,47,48,0.0612244897959184
"99","vr_vermiculite_x_ray",1,1,1,2,2,2.7,48,49,0.0714285714285714
"100","vr_vermiculite_x_ray",1,1,1,2,2,2.65,49,50,0.0816326530612245
"101","kk_kaolinite_x_ray",1,1,2,2,2,3,0,1,0.571428571428571
"102","kk_kaolinite_x_ray",1,1,2,2,2,3,1,2,0.571428571428571
"103","kk_kaolinite_x_ray",1,1,2,2,2,3,2,3,0.571428571428571
"104","kk_kaolinite_x_ray",1,1,2,2,2,3,3,4,0.571428571428571
"105","kk_kaolinite_x_ray",1,1,2,2,2,3,4,5,0.571428571428571
"106","kk_kaolinite_x_ray",1,1,2,2,2,3,5,6,0.571428571428571
"107","kk_kaolinite_x_ray",1,1,2,2,2,3,6,7,0.571428571428571
"108","kk_kaolinite_x_ray",1,1,2,2,2,3,7,8,0.551020408163265
"109","kk_kaolinite_x_ray",1,1,2,2,2,3,8,9,0.540816326530612
"110","kk_kaolinite_x_ray",1,1,2,2,2,3,9,10,0.551020408163265
"111","kk_kaolinite_x_ray",1,1,2,2,2,3,10,11,0.448979591836735
"112","kk_kaolinite_x_ray",1,1,2,2,2,3,11,12,0.428571428571429
"113","kk_kaolinite_x_ray",1,1,2,2,2,3,12,13,0.408163265306122
"114","kk_kaolinite_x_ray",1,1,2,2,2,3,13,14,0.387755102040816
"115","kk_kaolinite_x_ray",1,1,2,2,2,3,14,15,0.387755102040816
"116","kk_kaolinite_x_ray",1,1,2,2,2,3,15,16,0.336734693877551
"117","kk_kaolinite_x_ray",1,1,2,2,2,3,16,17,0.336734693877551
"118","kk_kaolinite_x_ray",1,1,2,2,2,3,17,18,0.326530612244898
"119","kk_kaolinite_x_ray",1,1,2,2,2,3,18,19,0.336734693877551
"120","kk_kaolinite_x_ray",1,1,2,2,2,3,19,20,0.336734693877551
"121","kk_kaolinite_x_ray",1,1,2,2,2,3,20,21,0.377551020408163
"122","kk_kaolinite_x_ray",1,1,2,2,2.25,3,21,22,0.36734693877551
"123","kk_kaolinite_x_ray",1,1,2,2,2.25,3.05,22,23,0.408163265306122
"124","kk_kaolinite_x_ray",1,1,2,2,2.25,3.05,23,24,0.408163265306122
"125","kk_kaolinite_x_ray",1,1,2,2,3,3.05,24,25,0.408163265306122
"126","kk_kaolinite_x_ray",1,1,2,2,2.5,3,25,26,0.520408163265306
"127","kk_kaolinite_x_ray",1,1,2,2,2,3,26,27,0.540816326530612
"128","kk_kaolinite_x_ray",1,1,2,2,2,3,27,28,0.551020408163265
"129","kk_kaolinite_x_ray",1,1,2,2,2,3,28,29,0.540816326530612
"130","kk_kaolinite_x_ray",1,1.6,2,2,2,3,29,30,0.540816326530612
"131","kk_kaolinite_x_ray",1,1.6,2,2,2,3,30,31,0.540816326530612
"132","kk_kaolinite_x_ray",1,2,2,2,2,3,31,32,0.540816326530612
"133","kk_kaolinite_x_ray",1,1.65,2,2,2,3,32,33,0.551020408163265
"134","kk_kaolinite_x_ray",1,2,2,2,2,3,33,34,0.540816326530612
"135","kk_kaolinite_x_ray",1,2,2,2,2,3,34,35,0.520408163265306
"136","kk_kaolinite_x_ray",1,2,2,2,2,3,35,36,0.520408163265306
"137","kk_kaolinite_x_ray",1,2,2,2,2,3,36,37,0.510204081632653
"138","kk_kaolinite_x_ray",1,2,2,2,2,3,37,38,0.5
"139","kk_kaolinite_x_ray",1,2,2,2,2,3,38,39,0.510204081632653
"140","kk_kaolinite_x_ray",1,2,2,2,2,3,39,40,0.479591836734694
"141","kk_kaolinite_x_ray",1,2,2,2,2,3,40,41,0.459183673469388
"142","kk_kaolinite_x_ray",1,1.15,2,2,2,3,41,42,0.448979591836735
"143","kk_kaolinite_x_ray",1,1.2,2,2,2,3,42,43,0.459183673469388
"144","kk_kaolinite_x_ray",1,1,2,2,2,3,43,44,0.459183673469388
"145","kk_kaolinite_x_ray",1,1,2,2,2,3,44,45,0.438775510204082
"146","kk_kaolinite_x_ray",1,1,2,2,2,3,45,46,0.428571428571429
"147","kk_kaolinite_x_ray",1,1,2,2,2,3,46,47,0.397959183673469
"148","kk_kaolinite_x_ray",1,1,2,2,2,3,47,48,0.418367346938776
"149","kk_kaolinite_x_ray",1,1,2,2,2,3,48,49,0.397959183673469
"150","kk_kaolinite_x_ray",1,1,2,2,2,3,49,50,0.387755102040816
"151","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,0,1,0
"152","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,1,2,0
"153","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,2,3,0
"154","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,3,4,0
"155","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,4,5,0
"156","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,5,6,0
"157","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,6,7,0
"158","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,7,8,0
"159","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,8,9,0
"160","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,9,10,0
"161","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,10,11,0
"162","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,11,12,0
"163","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,12,13,0
"164","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,13,14,0
"165","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,14,15,0
"166","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,15,16,0
"167","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,16,17,0
"168","dl_dolomite_x_ray",1,NA,NA,NA,NA,NA,17,18,0
"169","dl_dolomite_x_ray",1,1,1,1,1,1,18,19,0.0102040816326531
"170","dl_dolomite_x_ray",1,1,1,1,1,1,19,20,0.0102040816326531
"171","dl_dolomite_x_ray",1,1,1,1,1,1,20,21,0.0102040816326531
"172","dl_dolomite_x_ray",1,1,1,1,1,1,21,22,0.0102040816326531
"173","dl_dolomite_x_ray",1,1,1,1,1,1,22,23,0.0102040816326531
"174","dl_dolomite_x_ray",1,1,1,1,1,1,23,24,0.0102040816326531
