"","pedons.site_id","pedons.taxonname","pedons.psctopdepth","pedons.pscbotdepth","esttop","estbot","tmatch","bmatch","match"
"1441411","2002CA630004","Wukusick",30,80,30,80,TRUE,TRUE,TRUE
"1441631","2004CA630008","Wukusick",86,136,86,136,TRUE,TRUE,TRUE
"2072541","06-JCR-006","Wukusick",45,95,45,95,TRUE,TRUE,TRUE
"2688221","07CA630SKC005","Musick",36,86,36,86,TRUE,TRUE,TRUE
"2688431","S2007CA630SMM019","Andic Haploxeralfs",36,86,36,86,TRUE,TRUE,TRUE
"2688441","07CA630SMM020","Musick",38,88,38,88,TRUE,TRUE,TRUE
"2688451","07CA630SMM021","Musick",38,88,38,88,TRUE,TRUE,TRUE
"2688461","07CA630SMM022","Holland",41,91,41,91,TRUE,TRUE,TRUE
"2688481","07CA630SMM025","Andic Dystroxerepts",33,108,33,108,TRUE,TRUE,TRUE
"3079211","07CA630SMM014","Andihasset",36,86,36,86,TRUE,TRUE,TRUE
"3355701","09CA630SMM001","Musick",25,75,25,75,TRUE,TRUE,TRUE
"3516421","07CA630DWB032","Musick",25,75,25,75,TRUE,TRUE,TRUE
"3516431","07CA630DWB033","Wukusick",32,82,32,82,TRUE,TRUE,TRUE
"3854341","09CA630BJM057","Wukusick",32,82,32,82,TRUE,TRUE,TRUE
"3854351","09CA630BJM058","Wukusick",42,92,42,92,TRUE,TRUE,TRUE
"3854391","09CA630BJM062","Wukusick",33,83,33,83,TRUE,TRUE,TRUE
"3854401","09CA630BJM063","Aquic Haploxeralfs",43,93,43,93,TRUE,TRUE,TRUE
"5333021","S1967-CA-05-032x","Holland",38,86,38,86,TRUE,TRUE,TRUE
"5336531","S1967-CA-05-041x","Holland, pale-",35,110,35,110,TRUE,TRUE,TRUE
"5338321","S1977-CA-55-046x","Musick",49,99,49,99,TRUE,TRUE,TRUE
"5421501","2012CA6303017","Musick",24,74,24,74,TRUE,TRUE,TRUE
"8941561","2013CA6302056","Musick",30,80,30,80,TRUE,TRUE,TRUE
"10863441","2013CA6305007","Holland",25,75,25,75,TRUE,TRUE,TRUE
"11373371","2015CA6303049","Holland",35,85,35,85,TRUE,TRUE,TRUE
"11607981","2016CA6302004","Holland",40,80,40,80,TRUE,TRUE,TRUE
"11932831","2016CA6306012","Humic Lithic Dystroxerepts",4,27,4,27,TRUE,TRUE,TRUE
