"","peiid","diag_kind","featdept","featdepb","thickness","dsubound","dslbound","is_ochric","pedon_id","tmatch","bmatch","match"
"1",307585,"ochric epipedon",0,20,20,0,18,FALSE,"08SMM003",TRUE,FALSE,FALSE
"2",307598,"mollic epipedon",0,33,33,0,18,FALSE,"08AMS001",TRUE,FALSE,FALSE
"3",307600,"ochric epipedon",0,40,40,0,40,TRUE,"08AMS003",TRUE,TRUE,TRUE
"4",307601,"mollic epipedon",0,48,48,0,18,FALSE,"08AMS004",TRUE,FALSE,FALSE
"5",307605,"ochric epipedon",0,10,10,0,10,TRUE,"08BJM004",TRUE,TRUE,TRUE
"6",351719,"ochric epipedon",0,20,20,0,61,TRUE,"07RJV147",TRUE,FALSE,FALSE
"7",385424,"ochric epipedon",0,45,45,0,45,TRUE,"09BJM046",TRUE,TRUE,TRUE
"8",385425,"ochric epipedon",0,36,36,0,36,TRUE,"09BJM047",TRUE,TRUE,TRUE
"9",385428,"ochric epipedon",0,12,12,0,12,TRUE,"09BJM050",TRUE,TRUE,TRUE
"10",463687,"ochric epipedon",0,21,21,0,21,TRUE,"09BAH014",TRUE,TRUE,TRUE
"11",482365,"ochric epipedon",0,29,29,0,29,TRUE,"09AMS004",TRUE,TRUE,TRUE
"12",530667,"ochric epipedon",0,10,10,0,16,TRUE,"10PDM081",TRUE,FALSE,FALSE
"13",530675,"ochric epipedon",0,13,13,2,20,FALSE,"10PDM109",FALSE,FALSE,FALSE
"14",542103,"ochric epipedon",0,6,6,0,6,TRUE,"11MJE016",TRUE,TRUE,TRUE
"15",620527,"ochric epipedon",0,20,20,0,20,TRUE,"2012CA6304006",TRUE,TRUE,TRUE
"16",625864,"ochric epipedon",0,20,20,2,20,FALSE,"2012CA6301002",FALSE,TRUE,FALSE
"17",640685,"ochric epipedon",0,10,10,0,21,TRUE,"10PDM141",TRUE,FALSE,FALSE
"18",1136092,"ochric epipedon",NA,NA,NA,0,18,TRUE,"2015CA6302001",NA,NA,NA
"19",1137295,"ochric epipedon",0,6,6,0,6,TRUE,"2015CA6303046",TRUE,TRUE,TRUE
"20",1137296,"ochric epipedon",0,9,9,0,9,TRUE,"2015CA6303047",TRUE,TRUE,TRUE
"21",1161651,"ochric epipedon",0,18,18,0,29,TRUE,"2016CA6303014",TRUE,FALSE,FALSE
"22",1161671,"ochric epipedon",0,18,18,0,40,TRUE,"2016CA6303029",TRUE,FALSE,FALSE
"23",1193316,"ochric epipedon",0,9,9,0,27,TRUE,"2017CA6306001",TRUE,FALSE,FALSE
"24",1193338,"mollic epipedon",0,46,46,0,18,FALSE,"2017CA6306023N",TRUE,FALSE,FALSE
"25",1193339,"ochric epipedon",0,13,13,0,13,TRUE,"2017CA6306024N",TRUE,TRUE,TRUE
"26",1193340,"ochric epipedon",0,20,20,0,18,FALSE,"2017CA6306025N",TRUE,FALSE,FALSE
"27",1193345,"ochric epipedon",0,13,13,0,18,FALSE,"2017CA6306027",TRUE,FALSE,FALSE
"28",1209622,"ochric epipedon",0,11,11,0,38,TRUE,"2017CA6303019",TRUE,FALSE,FALSE
